date,emerging_equity,fixed_income_balanced,min_vol,momentum,quality,size,value,emerging_equity_share,fixed_income_balanced_share,min_vol_share,momentum_share,quality_share,size_share,value_share,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09,value_function,absolute_return,cumulative_return
2016-11-10,36.1501,99.5,44.13,74.86,67.63,69.3565,67.04,0.08052408,0.08585605,0.081184275,0.072461106,0.0757128,0.102847636,0.50141406,-30.444519,-12.4603815,-5.820549,-1.6803498,0.82004964,3.3414693,6.2835755,10.510789,21.640995,0.82004964,-0.15651114,-0.15651114
2016-11-11,35.4699,99.07,44.06,74.76,67.56,69.28,67.1,0.06964954,0.07580245,0.07365951,0.06774168,0.07221067,0.100998715,0.53993744,-32.023895,-11.694367,-5.3245296,-1.0255072,1.6735244,4.6513658,7.790021,12.431982,22.982164,1.6735244,0.353977,0.19746585
2016-11-14,35.02,98.9077,44.0,74.15,67.38,69.61,67.7928,0.078923136,0.08819492,0.08225223,0.076220796,0.07917548,0.0978175,0.49741587,-34.2464,-12.710926,-6.011764,-1.7387519,0.9289411,3.9133115,6.7661014,11.294729,24.151564,0.9289411,0.70474523,0.90221107
2016-11-15,35.8,99.06,44.25,74.85,67.67,70.3,68.33,0.112157024,0.13175902,0.10925874,0.09329911,0.096059166,0.10396288,0.353504,-35.278496,-13.249513,-6.7635403,-2.5310779,0.23155157,3.196315,6.083265,10.714039,24.042673,0.23155157,-0.10804243,0.79416865
2016-11-16,35.8,99.0692,44.3,75.07,67.78,70.18,68.01,0.1772397,0.24778429,0.14627422,0.1043493,0.10566265,0.10094206,0.117747806,-34.67076,-13.549436,-7.0483155,-2.837589,0.18026552,3.515154,6.526777,11.189674,23.840431,0.18026552,0.26905492,1.0632236
2016-11-17,36.0,99.0,44.43,75.48,68.1,70.55,68.19,0.15579118,0.2087678,0.1435572,0.10575834,0.10900474,0.10798187,0.16913882,-35.5693,-14.474341,-7.9431906,-3.449784,-0.40975824,2.8060038,5.9132504,10.661029,23.589573,-0.40975824,-0.20593543,0.8572882
2016-11-18,35.9763,98.63,44.31,75.27,67.98,70.35,68.05,0.12809248,0.14835322,0.11000978,0.102785744,0.10612313,0.101485066,0.30315053,-38.67171,-15.196434,-8.2037525,-3.2726705,-0.050501302,3.2915218,6.531359,11.675773,24.060087,-0.050501302,0.36498645,1.2222747
2016-11-21,35.9763,98.615,44.49,75.78,68.42,70.83,68.45,0.12806585,0.16786268,0.12123364,0.10944945,0.10718896,0.11222181,0.2539776,-35.723114,-14.700973,-7.9860144,-3.2786276,-0.35154846,2.6126792,5.3445315,9.641206,21.439964,-0.35154846,0.2387978,1.4610724
2016-11-22,35.9763,98.884,44.63,76.04,68.63,71.0308,68.7,0.11939506,0.1539717,0.10904265,0.09920649,0.098672345,0.10585088,0.3138608,-38.538517,-16.05833,-8.824251,-3.6648276,-0.48780006,2.7397535,5.7500453,10.380723,22.346277,-0.48780006,0.030770112,1.4918425
2016-11-23,35.9763,98.587,44.52,76.2,68.43,71.1098,68.93,0.1271224,0.20539804,0.1344924,0.12923177,0.11520916,0.11047921,0.178067,-40.765495,-16.320406,-8.59994,-3.769664,-0.7581416,2.431611,5.752762,11.081484,24.771763,-0.7581416,0.2018817,1.6937242
2016-11-25,35.9763,98.53,44.76,76.33,68.71,71.405,69.16,0.13201211,0.1688261,0.11649851,0.13207886,0.11348814,0.107488334,0.22960795,-43.63919,-17.54051,-9.257842,-4.0955787,-0.93770194,2.3298347,5.7974343,11.333661,25.812805,-0.93770194,0.01248307,1.7062073
2016-11-28,36.41,98.82,44.83,76.3,68.48,71.14,68.77,0.15141648,0.15318628,0.11182138,0.14096923,0.11503776,0.10614373,0.22142513,-44.16679,-18.11977,-9.668902,-4.48118,-1.2739863,2.131273,5.6490054,11.289488,26.697678,-1.2739863,0.12596735,1.8321747
