date,emerging_equity,fixed_income_balanced,min_vol,momentum,quality,size,value,emerging_equity_share,fixed_income_balanced_share,min_vol_share,momentum_share,quality_share,size_share,value_share,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09,value_function,absolute_return,cumulative_return
2016-11-10,36.1501,99.5,44.13,74.86,67.63,69.3565,67.04,0.09282511,0.11010085,0.11599148,0.09795323,0.07284371,0.26606074,0.24422485,-37.91006,-11.540698,-4.333188,-0.7591292,2.068649,4.480604,7.4290295,12.154923,23.649193,2.068649,-0.22677743,-0.22677743
2016-11-11,35.4699,99.07,44.06,74.76,67.56,69.28,67.1,0.08249553,0.0925312,0.08187855,0.084089965,0.07306174,0.20295145,0.38299158,-40.739857,-12.190439,-4.407686,-0.6935983,2.0787215,4.4274907,7.9354177,13.595185,25.541674,2.0787215,0.22980516,0.0030277222
2016-11-14,35.02,98.9077,44.0,74.15,67.38,69.61,67.7928,0.092904545,0.10539919,0.1147832,0.10143587,0.08275199,0.3126819,0.19004324,-43.435387,-13.6822195,-5.309643,-1.0169166,2.1555343,4.8595886,8.590306,14.700769,27.181438,2.1555343,0.74281806,0.7458458
2016-11-15,35.8,99.06,44.25,74.85,67.67,70.3,68.33,0.105517425,0.18259895,0.15787925,0.08558921,0.08163095,0.2742104,0.11257378,-46.49468,-13.178174,-5.728984,-1.6496156,1.4516541,4.397349,7.5093164,13.045002,27.43341,1.4516541,-0.03538714,0.71045864
2016-11-16,35.8,99.0692,44.3,75.07,67.78,70.18,68.01,0.09062744,0.26706356,0.23479372,0.08403195,0.07829612,0.16817823,0.07700899,-41.389404,-12.74589,-5.82143,-1.7697129,1.4348105,4.3167453,7.711295,12.986915,24.384838,1.4348105,0.24913833,0.959597
2016-11-17,36.0,99.0,44.43,75.48,68.1,70.55,68.19,0.100724876,0.23994577,0.20894194,0.08286467,0.078639075,0.2107676,0.078116044,-42.920845,-13.763228,-6.6163654,-2.3674266,0.9422473,3.8730965,7.182108,12.554366,24.77149,0.9422473,-0.22652596,0.733071
2016-11-18,35.9763,98.63,44.31,75.27,67.98,70.35,68.05,0.12081601,0.23193917,0.1478008,0.10270855,0.09758721,0.18149987,0.11764836,-45.8214,-14.812548,-6.798601,-2.351314,1.2493024,4.3911705,7.77001,13.690397,26.626759,1.2493024,0.32535446,1.0584254
2016-11-21,35.9763,98.615,44.49,75.78,68.42,70.83,68.45,0.10932997,0.17320356,0.15735006,0.10707506,0.09320814,0.25712124,0.10271197,-45.789753,-15.809121,-7.6431065,-3.0704148,0.59413064,3.688262,7.1459117,12.934817,25.461563,0.59413064,0.23283288,1.2912583
2016-11-22,35.9763,98.884,44.63,76.04,68.63,71.0308,68.7,0.11402969,0.14948152,0.15177822,0.107923806,0.08815218,0.28290313,0.10573149,-44.144703,-15.545532,-7.404601,-2.8574076,0.7574231,3.7420053,7.1307797,12.881933,25.417395,0.7574231,-0.015782382,1.275476
2016-11-23,35.9763,98.587,44.52,76.2,68.43,71.1098,68.93,0.103926316,0.29108793,0.1204069,0.11701516,0.09573931,0.106908396,0.16491595,-48.057262,-16.818062,-7.902231,-3.2557843,0.92094225,4.3582253,8.097593,14.347185,27.192238,0.92094225,0.17698598,1.452462
2016-11-25,35.9763,98.53,44.76,76.33,68.71,71.405,69.16,0.11436599,0.16628973,0.08361355,0.124595,0.08479283,0.08587901,0.34046382,-52.487354,-18.434374,-8.773803,-3.8634386,0.4768973,4.1752553,8.2250595,15.151296,29.50071,0.4768973,-0.049147684,1.4033142
2016-11-28,36.41,98.82,44.83,76.3,68.48,71.14,68.77,0.14954959,0.14646323,0.079526514,0.146389,0.08399161,0.08250409,0.31157592,-52.067875,-18.599733,-8.878668,-3.952348,0.39033014,3.9849496,7.9539065,14.714975,29.1754,0.39033014,0.1138464,1.5171607
2016-11-29,36.4,98.8399,45.02,76.6,68.5,71.33,68.81,0.25329167,0.26252365,0.073598705,0.12665865,0.06774433,0.07202299,0.14415993,-53.220783,-16.542107,-7.1539106,-2.514367,1.2159417,4.663752,8.471228,14.548225,30.570223,1.2159417,-0.23139447,1.2857661
2016-11-30,36.45,98.8,44.45,75.42,68.1,71.13,69.07,0.22088088,0.30893457,0.09915543,0.13941324,0.07295342,0.076419905,0.082242556,-52.160633,-16.870518,-7.0186205,-2.248403,1.715524,5.2177525,9.160822,15.450235,30.949015,1.715524,-0.6548331,0.63093305
2016-12-01,35.87,98.84,44.08,74.0,67.87,70.5,69.17,0.09662515,0.07058379,0.06995333,0.169217,0.08097873,0.12818332,0.3844587,-53.873814,-18.559351,-7.37335,-2.048451,2.1321442,5.486955,9.783882,17.064844,34.220856,2.1321442,0.046632964,0.677566
2016-12-02,35.74,99.2,44.22,74.44,67.87,70.5442,69.05,0.08926976,0.069693245,0.06918581,0.14324653,0.08405892,0.12962292,0.4149228,-53.277943,-19.274271,-8.248858,-2.7691731,1.4870775,4.684568,8.580403,16.533726,34.368496,1.4870775,0.4269592,1.1045252
2016-12-05,35.75,99.24,44.33,74.99,68.17,71.0999,69.44,0.08793253,0.070270635,0.0770644,0.14807728,0.099154964,0.26011264,0.2573875,-55.73915,-19.343712,-8.624513,-3.5499494,0.28794798,3.2928555,6.8280663,13.909092,31.83447,0.28794798,0.3643427,1.4688679
2016-12-06,36.11,98.96,44.46,75.18,68.29,71.4699,69.83,0.08613946,0.06731633,0.07157622,0.08075185,0.13311808,0.24805534,0.3130427,-42.18007,-15.405402,-6.507491,-2.2002175,1.250373,3.642299,6.584499,12.900452,27.321249,1.250373,1.1147653,2.5836332
2016-12-07,36.4786,99.6099,45.01,76.16,69.19,72.32,70.95,0.078781694,0.054108437,0.058213867,0.09293961,0.16652116,0.23177114,0.317664,-44.26951,-18.36365,-8.460859,-3.6296895,0.110628106,2.734856,6.136482,12.674228,27.784214,0.110628106,0.26629877,2.849932
2016-12-08,36.4786,99.06,45.03,76.13,69.33,72.75,71.32,0.05924688,0.40834147,0.26051715,0.061661657,0.05932107,0.09068002,0.060231768,-47.658234,-21.084385,-10.098714,-3.7108133,0.4997387,3.5122356,5.906398,11.1292095,27.005636,0.4997387,0.2515424,3.1014743
2016-12-09,36.49,99.1418,45.32,76.35,69.7,72.7709,71.71,0.05019774,0.048268396,0.33850807,0.22910143,0.21579301,0.07078744,0.047343865,-52.097797,-14.241294,-4.667572,-1.928648,0.2160568,1.9559948,5.927603,10.686641,25.180761,0.2160568,0.09829537,3.1997697
2016-12-12,36.18,99.1425,45.54,76.26,69.82,72.7537,71.44,0.05124,0.045253083,0.31982827,0.2842921,0.20830637,0.04622106,0.04485912,-56.825577,-15.340027,-4.925704,-2.1697152,0.07277538,2.0840716,6.1414366,11.839829,24.671461,0.07277538,0.5895107,3.7892804
2016-12-13,36.8,98.9394,45.77,76.89,70.32,73.12,71.85,0.05148867,0.043224208,0.30561766,0.28674135,0.21505748,0.05530229,0.042568356,-49.986195,-14.838423,-5.4398575,-2.3826685,-0.26320314,1.6227045,5.3632627,10.524713,24.44752,-0.26320314,-0.7051677,3.0841126
2016-12-14,36.36,99.1212,45.32,76.43,69.75,72.325,71.18,0.056575425,0.04757088,0.32557338,0.30700755,0.16552497,0.05174982,0.04599795,-53.43681,-15.467872,-5.3026133,-1.8198988,0.4309925,2.6033123,6.5487146,12.503609,26.915663,0.4309925,0.18767858,3.2717912
2016-12-15,35.86,98.4996,45.43,76.82,69.94,72.57,71.55,0.06272323,0.047052525,0.27456078,0.32235393,0.19558465,0.052277993,0.04544688,-57.951748,-17.04829,-6.2119102,-2.1824467,0.42924455,2.7433922,6.907999,11.814909,24.14956,0.42924455,-0.03735868,3.2344325
2016-12-16,35.6,98.79,45.6,76.61,69.91,72.5423,71.31,0.1054933,0.048267648,0.23380546,0.31897604,0.18881844,0.059339404,0.045299705,-56.92303,-15.449967,-5.4587307,-1.8034174,0.4669594,2.5107298,6.98113,11.885016,26.044285,0.4669594,0.20104682,3.4354792
2016-12-19,35.59,98.5791,45.75,76.87,70.05,72.675,71.45,0.063019946,0.04852764,0.26822013,0.3322739,0.16866879,0.07268438,0.04660523,-51.84598,-14.727489,-5.188388,-1.8815901,0.18288177,2.0534878,5.992721,9.922287,21.599457,0.18288177,0.20400414,3.6394832
2016-12-20,35.62,98.82,45.77,77.12,70.28,72.8856,71.74,0.06585285,0.05326033,0.2844574,0.34673777,0.12625968,0.07487894,0.04855309,-44.28588,-12.445762,-4.3156185,-1.8481461,-0.21526214,1.2236594,4.6688566,8.796349,19.79357,-0.21526214,-0.27476835,3.3647149
