date,min_vol,momentum,quality,min_vol_share,momentum_share,quality_share,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09,value_function,absolute_return,cumulative_return
2016-05-10,44.78,74.84,66.08,0.41334158,0.4827845,0.10387396,-10.551826,-2.4130397,-1.8681036,1.7407224,2.1609917,4.1972284,7.67174,8.932701,10.664426,-10.551826,-12.170841168776308,9900.320711148433
2016-05-11,44.41,74.03,65.38,0.575094,0.3109977,0.11390831,-11.653361,-3.363965,-2.4633136,1.8162272,2.1426756,4.4335775,8.164879,9.45588,12.389767,-11.653361,3.203849092517021,9926.298707484259
2016-05-12,44.55,74.21,65.51,0.47476792,0.4209759,0.10425622,-11.471211,-3.3757145,-2.5713634,1.4544617,1.8917506,4.840347,7.60666,8.990822,12.07187,-11.471211,-8.004073438936544,9861.22841769595
2016-05-13,44.25,73.8,64.93,0.68503046,0.1805132,0.13445635,-11.855009,-3.5900705,-2.598564,2.0293508,2.2696142,4.2127852,8.293371,9.616426,12.702703,-11.855009,9.887585265206171,9941.084057990496
2016-05-16,44.63,74.28,65.55,0.46527338,0.41283765,0.12188903,-11.789923,-3.2476692,-2.4166644,1.8940141,2.1900213,4.526822,8.072332,9.534365,12.271198,-11.789923,-16.419361826700282,9807.40162056397
2016-05-17,44.02,73.25,64.94,0.47409824,0.438371,0.08753074,-12.359802,-2.78576,-2.1306272,2.9290164,2.9520895,3.5951076,9.587275,11.019923,12.905712,-12.359802,-3.772247374010404,9777.101911301857
2016-05-18,43.76,73.23,64.84,0.6925091,0.17514724,0.13234372,-12.011806,-3.1271303,-2.4971888,2.427148,2.5880163,3.624412,8.959613,10.3192215,12.757894,-12.011806,-2.1117779892082815,9760.191945196588
2016-05-19,43.74,72.98,64.57,0.46659276,0.45228115,0.08112608,-12.431282,-2.4332335,-1.6233778,3.4455142,3.183961,4.4432745,9.699038,11.268532,13.024463,-12.431282,3.915250395574106,9791.488911105114
2016-05-20,43.84,73.31,64.8671,0.41715074,0.49244884,0.09040045,-11.920538,-2.2685413,-1.7597468,2.4553916,2.6933892,4.0649858,9.294894,10.66497,12.161004,-11.920538,-3.980406386037373,9759.569087198006
2016-05-23,43.73,73.01,64.76,0.4338857,0.48884907,0.077265255,-12.177539,-2.341197,-1.7945901,2.8949435,2.897356,4.036129,9.578796,11.045983,12.494441,-12.177539,16.317619275033838,9889.99736946933
2016-05-24,44.17,74.18,65.75,0.397441,0.5155423,0.087016635,-11.466154,-1.8660848,-1.5818274,1.990748,2.6818218,4.426185,9.201498,10.348391,11.736728,-11.466154,1.6280488159140394,9903.184428033424
2016-05-25,44.25,74.22,66.03,0.39525628,0.5197683,0.084975466,-11.211847,-1.901259,-1.5728606,1.7566313,2.5826972,4.619847,8.814312,10.062661,11.456811,-11.211847,2.6633358090784047,9924.785988812366
2016-05-26,44.38,74.37,66.01,0.3965986,0.51652116,0.08688021,-10.987608,-1.8077483,-1.6838266,1.4871199,2.4817107,4.580692,8.644864,9.842606,11.24504,-10.987608,3.686052436285079,9954.747726382939
2016-05-27,44.49,74.62,66.24,0.4035795,0.5068419,0.08957859,-11.018821,-1.9749132,-1.7903395,1.4235445,2.397339,4.5251245,8.507909,9.731103,11.272991,-11.018821,-2.3001896307695078,9935.994403289447
2016-05-31,44.46,74.42,66.06,0.38895625,0.52305174,0.08799204,-11.799124,-2.0047812,-1.807716,2.1454318,2.7897732,4.035848,9.557912,10.613348,12.136617,-11.799124,2.7989990574208785,9958.771503182443
2016-06-01,44.54,74.63,66.16,0.39502525,0.51636827,0.0886065,-11.672174,-2.0301394,-1.7473859,2.0937345,2.708687,4.0953293,9.343648,10.46878,11.963405,-11.672174,3.7121481244850454,9989.048681689988
2016-06-02,44.72,74.83,66.21,0.3990872,0.5117926,0.089120194,-11.380362,-2.0087442,-1.7794745,1.7730476,2.5598993,4.284138,8.978516,10.12512,11.662751,-11.380362,3.401343443497205,10016.87520522827
