date,min_vol,momentum,quality,min_vol_share,momentum_share,quality_share,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09,value_function,absolute_return,cumulative_return
2016-05-10,44.78,74.84,66.08,0.106571905,0.78545225,0.10797582,-12.507942,-3.5080385,-2.8989518,1.0985415,1.4698769,3.5884826,8.068363,10.507295,12.546407,12.546407,-13.94252716801,9885.810588304586
2016-05-11,44.41,74.03,65.38,0.108077064,0.78191227,0.110010676,-14.271594,-4.9110007,-4.199565,0.7647316,1.2910875,3.6922488,8.894237,11.442465,15.151033,15.151033,2.9968226188219007,9910.07432358421
2016-05-12,44.55,74.21,65.51,0.10767549,0.7823342,0.109990396,-14.243085,-5.2227206,-4.4584165,0.21285084,0.95106685,3.9239395,8.566834,11.032484,15.310029,15.310029,-7.3529723103087585,9850.394960689518
2016-05-13,44.25,73.8,64.93,0.11126239,0.77704674,0.11169088,-14.7112055,-5.299307,-4.572025,0.8912977,1.4046022,3.4543982,9.154869,11.733737,15.794187,15.794187,8.625751942859397,9919.983055259625
2016-05-16,44.63,74.28,65.55,0.10858195,0.7814482,0.109969854,-14.362339,-5.123691,-4.4411135,0.59867454,1.153078,3.4896011,8.832866,11.296818,15.290864,15.290864,-16.30388359210784,9787.522572893831
2016-05-17,44.02,73.25,64.94,0.11031247,0.7828854,0.10680213,-14.132489,-3.8077984,-3.477017,1.6395518,2.2518759,2.6963892,9.839819,12.464286,14.559569,14.559569,-1.26613012288672,9777.373287752165
2016-05-18,43.76,73.23,64.84,0.11185221,0.77748805,0.11065975,-14.428564,-4.527787,-4.229987,1.2261083,1.824482,2.855406,9.54138,12.165126,15.221865,15.221865,-3.8804522677904836,9746.299880424163
2016-05-19,43.74,72.98,64.57,0.10882633,0.7846904,0.10648321,-13.930658,-3.6924841,-3.2474236,1.8232648,2.2751477,3.1762073,9.663385,12.438306,14.302068,14.302068,5.216297792792357,9787.937556553687
2016-05-20,43.84,73.31,64.8671,0.10771855,0.78553134,0.10675017,-13.055142,-3.1004124,-2.94154,1.5130665,1.8856816,2.9396548,9.189781,11.620249,13.187324,13.187324,-4.472361739927158,9752.085633997809
2016-05-23,43.73,73.01,64.76,0.10826892,0.78527135,0.106459744,-13.384585,-3.1288652,-2.8398814,1.8311421,2.1873689,3.0014873,9.495828,12.142554,13.482018,13.482018,18.681253636693654,9901.29217389582
2016-05-24,44.17,74.18,65.75,0.1070671,0.78624266,0.106690235,-12.503322,-2.8152895,-2.8527882,1.0436256,1.7754489,3.2139463,9.026784,11.048444,12.80188,12.80188,1.3076221041251281,9911.895899125948
2016-05-25,44.25,74.22,66.03,0.1069213,0.78630215,0.10677653,-12.401411,-2.9378738,-2.8576014,0.8431936,1.6688032,3.4621193,8.727821,10.859163,12.702029,12.702029,2.283246431374305,9930.430953130724
2016-05-26,44.38,74.37,66.01,0.10675199,0.7864872,0.1067608,-12.196077,-2.8708982,-2.971986,0.6125473,1.5555356,3.4449449,8.554472,10.633617,12.505913,12.505913,4.004738768737329,9963.001618018745
2016-05-27,44.49,74.62,66.24,0.10672045,0.786402,0.10687759,-12.434452,-3.1292248,-3.1521573,0.5648434,1.4674324,3.4573667,8.518647,10.675664,12.748077,12.748077,-3.0164040703975914,9938.388646164552
2016-05-31,44.46,74.42,66.06,0.10730057,0.786058,0.106641434,-13.039134,-3.0406508,-3.1567266,1.1503267,1.8636113,2.8852441,9.479138,11.443624,13.457696,13.457696,3.1402371560905498,9963.948758612016
2016-06-01,44.54,74.63,66.16,0.10729645,0.7859861,0.106717445,-13.008053,-3.0904744,-3.1040773,1.1271232,1.8055097,2.9956138,9.328103,11.384812,13.378716,13.378716,3.1991271358587428,9990.055178639846
2016-06-02,44.72,74.83,66.21,0.1069258,0.7862732,0.10680099,-12.757514,-3.1067178,-3.1498706,0.8566749,1.6424145,3.2012079,8.969919,11.062685,13.101403,13.101403,3.7844048437874434,10021.018662020479
2016-06-03,44.83,75.12,66.08,0.1068495,0.78636336,0.10678707,-12.617751,-3.0326552,-3.0932903,0.8087325,1.6129357,3.2856624,8.862352,10.960872,12.929052,12.929052,0.2288835883048572,10022.89716055433
