date,tic,close
2015-12-14,Durbl,-0.28
2015-12-15,Durbl,0.97
2015-12-16,Durbl,2.66
2015-12-17,Durbl,-2.22
2015-12-18,Durbl,-1.31
2015-12-21,Durbl,0.6
2015-12-22,Durbl,1.43
2015-12-23,Durbl,1.67
2015-12-24,Durbl,-0.17
2015-12-28,Durbl,-0.51
2015-12-29,Durbl,0.8
2015-12-30,Durbl,-0.52
2015-12-31,Durbl,-0.83
2016-01-04,Durbl,-1.79
2016-01-05,Durbl,-1.23
2016-01-06,Durbl,-2.83
2016-01-07,Durbl,-3.18
2016-01-08,Durbl,-1.47
2016-01-11,Durbl,0.25
2016-01-12,Durbl,0.45
2016-01-13,Durbl,-3.28
2016-01-14,Durbl,0.6
2016-01-15,Durbl,-2.14
2016-01-19,Durbl,-0.64
2016-01-20,Durbl,-0.45
2016-01-21,Durbl,0.72
2016-01-22,Durbl,0.97
2016-01-25,Durbl,-1.38
2016-01-26,Durbl,1.85
2016-01-27,Durbl,-1.29
2016-01-28,Durbl,-0.35
2016-01-29,Durbl,2.28
2016-02-01,Durbl,0.83
2016-02-02,Durbl,-3.12
2016-02-03,Durbl,-0.94
2016-02-04,Durbl,1.27
2016-02-05,Durbl,-1.74
2016-02-08,Durbl,-1.3
2016-02-09,Durbl,-0.73
2016-02-10,Durbl,-0.31
2016-02-11,Durbl,-1.25
2016-02-12,Durbl,2.79
2016-02-16,Durbl,2.69
2016-02-17,Durbl,3.12
2016-02-18,Durbl,-0.51
2016-02-19,Durbl,-0.57
2016-02-22,Durbl,3.11
2016-02-23,Durbl,-1.11
2016-02-24,Durbl,-0.61
2016-02-25,Durbl,1.91
2016-02-26,Durbl,0.89
2016-02-29,Durbl,-0.12
2016-03-01,Durbl,2.37
2016-03-02,Durbl,0.77
2016-03-03,Durbl,2.19
2016-03-04,Durbl,0.69
2016-03-07,Durbl,0.69
2016-03-08,Durbl,-2.36
2016-03-09,Durbl,0.62
2016-03-10,Durbl,-0.52
2016-03-11,Durbl,1.97
2016-03-14,Durbl,0.48
2016-03-15,Durbl,-0.24
2016-03-16,Durbl,1.98
