date,Durbl,Enrgy,HiTec,Hlth,Manuf,NoDur,Other,Shops,Telcm,Utils,Durbl_share,Enrgy_share,HiTec_share,Hlth_share,Manuf_share,NoDur_share,Other_share,Shops_share,Telcm_share,Utils_share,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09,value_function,absolute_return,cumulative_return
2016-03-21,0.0019,-0.0051,0.0021,0.0072,0.0027,-0.0009,-0.0006,0.0008,-0.0001,-0.0037,0.106461406,0.06975931,0.037439637,0.1562875,0.029051304,0.16316347,0.03444908,0.21000913,0.06902659,0.12435262,-9.712021,-5.9069996,-3.4570618,-1.6233344,-0.24285963,0.9840895,3.4798093,4.698263,15.468311,-9.712021,-0.9547770988140475,0.999218036774108
2016-03-22,-0.005,-0.0017000000000000001,0.0012,0.0131,-0.0022,-0.008,-0.0031,-0.0016,-0.0027,-0.0016,0.13037156,0.04749629,0.044606395,0.13889503,0.03182428,0.1554438,0.035044294,0.22866362,0.07307624,0.1145785,-9.022783,-6.175464,-2.5317585,-0.9884407,-0.26891428,1.2087915,3.1366096,4.7051096,14.294837,-9.022783,-9.87083252091099,0.9911401384179486
2016-03-23,-0.022400000000000003,-0.023399999999999997,-0.0088,-0.0126,-0.0096,-0.001,-0.008,-0.0025,-0.0095,0.0009,0.11241986,0.045942616,0.039229862,0.1565742,0.034911364,0.16565135,0.036050983,0.25247046,0.09107929,0.065669954,-8.450443,-5.8393655,-2.177159,-0.869298,-0.1728617,1.2764176,2.9116006,4.817194,13.525449,-8.450443,1.5896084684698535,0.9924304944846722
2016-03-24,-0.0018,0.0068000000000000005,0.0009,0.0001,-0.0016,-0.0011,-0.0044,0.0031,0.005699999999999999,0.0037,0.11197712,0.050504442,0.03937641,0.17094633,0.032641772,0.16989166,0.034988392,0.23640619,0.07595448,0.07731325,-8.356098,-5.802021,-2.3600428,-1.082037,-0.24575838,1.154817,2.9310443,4.549962,13.435844,-8.356098,1.8859284293234808,0.9939633797292882
2016-03-28,0.0039000000000000003,-0.0043,-0.0024,-0.0031,0.0015,0.0064,0.0015,0.0029,0.004699999999999999,-0.0036,0.09437717,0.050653707,0.037419092,0.18104318,0.034132224,0.1724341,0.035697676,0.24796751,0.09127403,0.05500134,-8.543114,-5.7558374,-2.4805396,-1.1074883,-0.18654886,1.0880809,3.0795727,4.7469454,13.707749,-8.543114,13.446217424578585,1.0049093647546026
2016-03-29,0.011699999999999999,0.004699999999999999,0.0168,0.0146,0.0079,0.0103,0.005600000000000001,0.0098,0.01,0.0148,0.11140053,0.064022355,0.044758826,0.16478047,0.028886829,0.15848812,0.034030512,0.20860782,0.07143695,0.11358752,-8.670881,-5.8944426,-2.9034586,-1.5200286,-0.36472806,1.1620986,3.0678587,4.4356112,14.0032425,-8.670881,3.282097365554393,1.00761060175598
2016-03-30,0.0009,0.0007000000000000001,0.0060999999999999995,-0.0012,0.0031,0.0048,0.0063,0.006999999999999999,0.0014000000000000002,-0.0013,0.097653635,0.06653843,0.054271795,0.15678495,0.030706124,0.16719717,0.036071282,0.21538,0.07292721,0.102469444,-8.84305,-5.8798122,-2.8727305,-1.5345882,-0.26596406,1.3880043,3.1581943,4.83862,14.327256,-8.84305,0.326103703452187,1.0078797135896167
2016-03-31,0.0089,-0.0008,-0.0005,0.0033,-0.0046,-0.0044,-0.0026,-0.003,0.0008,0.0051,0.09261964,0.06283141,0.046396706,0.16613595,0.03301096,0.16767417,0.036869016,0.2325455,0.08272141,0.07919521,-8.841671,-5.8219557,-2.8147194,-1.452745,-0.2310265,1.2905084,3.1548173,4.798447,14.245823,-8.841671,7.413109444494914,1.0139988967376314
2016-04-01,-0.0083,-0.0124,0.0072,0.0159,0.0063,0.0118,0.0055000000000000005,0.0076,0.0045000000000000005,0.0015,0.10341031,0.06979323,0.05111911,0.15687703,0.02901446,0.16231366,0.03496513,0.20641874,0.06871736,0.11737102,-9.007349,-5.9270043,-3.1082582,-1.6980486,-0.33691874,1.3079668,3.182579,4.6489344,14.586733,-9.007349,-4.025994733330344,1.0106554452897456
2016-04-04,-0.0126,-0.0074,-0.0042,0.0092,-0.0085,-0.0036,-0.0072,-0.0055000000000000005,0.0005,-0.0044,0.10586369,0.05438226,0.045647543,0.1627552,0.03420937,0.16025132,0.0372123,0.24250859,0.078132704,0.07903704,-8.645958,-5.804144,-2.782916,-1.5038668,-0.2997313,1.3684888,2.9576654,4.694629,14.102452,-8.645958,-9.375297567702656,1.0028952523839223
