date,Durbl,Enrgy,HiTec,Manuf,NoDur,Durbl_share,Enrgy_share,HiTec_share,Manuf_share,NoDur_share,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09,value_function,log_growth,cum_log_growth,cumulative_return,cumulative_wealth
2016-03-21,0.0019,-0.0051,0.0021,0.0027,-0.0009,0.38994503,0.38936973,0.05278199,0.053412676,0.114490576,-3.601397,-0.24247059,2.3391907,3.1921973,3.2619333,1.7393442,2.8356643,4.6070113,5.1851077,3.2619333,-0.0039682604890179714,-0.0039682604890179714,-0.003960397347799738,0.9960396026522003
2016-03-22,-0.005,-0.0017000000000000001,0.0012,-0.0022,-0.008,0.3112102,0.3111633,0.042122457,0.042662226,0.29284188,-4.8144317,0.0009039864,2.7588909,3.5049446,3.2369747,1.9261173,3.584949,5.409031,5.701792,3.2369747,-0.015622929159008356,-0.01959118964802633,-0.019400529409148604,0.9805994705908514
2016-03-23,-0.022400000000000003,-0.023399999999999997,-0.0088,-0.0096,-0.001,0.31807244,0.31817192,0.04306004,0.043683004,0.27701262,-5.171129,0.26308098,2.4785237,2.772217,2.4464145,2.2957501,3.827677,4.737078,4.9318275,2.4464145,0.0012343090943427685,-0.01835688055368356,-0.018189419276327445,0.9818105807236726
2016-03-24,-0.0018,0.0068000000000000005,0.0009,-0.0016,-0.0011,0.33171886,0.33187175,0.044916816,0.046053465,0.24543916,-5.4906473,-0.0021732822,2.5330932,2.9075048,2.9046955,2.0759778,3.6245966,4.43077,5.151805,2.9046955,0.0013668458092655179,-0.016990034744418042,-0.016846518038182823,0.9831534819618172
2016-03-28,0.0039000000000000003,-0.0043,-0.0024,0.0015,0.0064,0.31748685,0.31754813,0.042982455,0.044048637,0.27793398,-4.9780564,0.039373063,2.4060931,2.8128483,2.6709871,1.9522222,3.4554052,4.4178343,4.9796934,2.6709871,0.009067096424690693,-0.00792293831972735,-0.00789163457103026,0.9921083654289697
2016-03-29,0.011699999999999999,0.004699999999999999,0.0168,0.0079,0.0103,0.3761375,0.37622347,0.050925806,0.051340092,0.14537317,-5.792513,-0.07113228,2.7786033,3.0755947,3.1016862,1.9092138,3.739775,4.6462765,5.4398413,3.1016862,0.001635020248188344,-0.006287918071539006,-0.006268190484842062,0.9937318095151579
2016-03-30,0.0009,0.0007000000000000001,0.0060999999999999995,0.0031,0.0048,0.3994637,0.39956006,0.05407547,0.054241747,0.092659004,-5.9634085,0.07712915,2.8572407,2.9845092,2.9210393,2.2181125,4.095635,4.7815056,5.409039,2.9210393,0.0024949251450103343,-0.0037929929265286713,-0.0037858086150761583,0.9962141913849238
2016-03-31,0.0089,-0.0008,-0.0005,-0.0046,-0.0044,0.38581023,0.38587654,0.05222599,0.052489366,0.12359787,-5.3587976,0.06360974,2.7309234,2.9482462,2.808081,2.0549452,3.8431518,4.7035785,5.23228,2.808081,-0.005870524287085899,-0.00966351721361457,-0.009616975470774225,0.9903830245292258
2016-04-01,-0.0083,-0.0124,0.0072,0.0063,0.0118,0.40300727,0.4030499,0.0545538,0.054737337,0.08465162,-5.4761896,-0.019777395,2.8364468,3.0818944,3.0441346,1.9904177,3.8474324,4.7360544,5.4067426,3.0441346,-0.009142025504239091,-0.01880554271785366,-0.018629821732932705,0.9813701782670673
2016-04-04,-0.0126,-0.0074,-0.0042,-0.0085,-0.0036,0.39276892,0.3928557,0.053171545,0.053563353,0.10764041,-5.0904913,0.11161377,2.6434512,2.8696568,2.6818914,2.1139069,3.808982,4.564266,4.9880347,2.6818914,-0.0058420979964526765,-0.024647640714306335,-0.024346367914814482,0.9756536320851855
