date,Durbl,Manuf,NoDur,Durbl_share,Manuf_share,NoDur_share,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09,value_function,absolute_return,cumulative_return
2016-03-21,0.0019,0.0027,-0.0009,0.57822996,0.09989426,0.3218757,-2.667739,-0.50193745,-1.889485,-1.1862764,-1.8868171,-2.3396285,-0.07609503,1.9570119,5.6123157,-2.667739,-8.726423478358617,0.9928530520242763
2016-03-22,-0.005,-0.0022,-0.008,0.6681871,0.23912922,0.09268365,-5.335535,-2.0590644,-1.5621068,-1.8824296,-2.5235465,-3.2083805,-0.7774105,2.1389716,7.923275,-5.335535,-22.841247408658653,0.9742797496477584
2016-03-23,-0.022400000000000003,-0.0096,-0.001,0.59893686,0.31377265,0.08729048,-6.294742,-2.1654344,-1.2436333,-2.3433616,-3.5234919,-3.4174523,-1.1775572,1.9624376,8.660207,-6.294742,-2.592490589357529,0.9722111083026614
2016-03-24,-0.0018,-0.0016,-0.0011,0.67626846,0.22820209,0.09552935,-5.660093,-2.2873335,-1.3401333,-2.2579541,-3.1176257,-3.5144403,-1.0661654,1.8633833,7.5842814,-5.660093,3.7556385994310206,0.9752015043429046
2016-03-28,0.0039000000000000003,0.0015,0.0064,0.6180779,0.27695084,0.10497122,-5.6041718,-2.1949282,-1.378717,-2.3516288,-3.219637,-3.396929,-1.015316,1.8088818,7.727773,-5.6041718,12.39048392555044,0.9850976702427683
2016-03-29,0.011699999999999999,0.0079,0.0103,0.71067286,0.19034882,0.098978356,-5.503588,-2.1620097,-1.2468297,-1.4966396,-2.6646886,-3.7732904,-1.3872647,2.27503,7.64335,-5.503588,1.4020331434508473,0.986228824692577
2016-03-30,0.0009,0.0031,0.0048,0.6868311,0.21475379,0.09841512,-5.5330615,-2.1292565,-1.1972157,-1.4298594,-2.6533444,-3.8187432,-1.4266803,2.3242047,7.8107934,-5.5330615,5.549183817101277,0.9907110237375751
2016-03-31,0.0089,-0.0046,-0.0044,0.6669813,0.2292155,0.10380322,-5.2761555,-2.0713618,-1.3053432,-1.6450561,-2.6437528,-3.6873567,-1.2774308,2.1841936,7.6537266,-5.2761555,-3.6456208524131353,0.9877529919874906
2016-04-01,-0.0083,0.0063,0.0118,0.68927115,0.20486216,0.10586661,-5.0386505,-1.7029614,-1.2860723,-1.2314105,-2.5616121,-3.7028055,-1.3205512,2.4163432,7.641895,-5.0386505,-13.372154342852497,0.9769353134768672
2016-04-04,-0.0126,-0.0085,-0.0036,0.6188403,0.2685716,0.11258807,-5.164297,-1.8725395,-1.4356401,-1.6174303,-2.634314,-3.8255408,-1.4199802,2.3104053,7.9516244,-5.164297,-5.7206919695760865,0.9723581259235483
2016-04-05,-0.0034000000000000002,-0.0049,-0.0075,0.53811425,0.2928185,0.16906722,-5.1865783,-1.771597,-1.5076933,-2.1072319,-3.149395,-3.4133863,-1.1199648,1.9950036,7.88892,-5.1865783,11.83920471570746,0.9817864198709608
2016-04-06,0.0123,0.0070999999999999995,0.0088,0.66501164,0.22040127,0.114587046,-4.9206967,-1.8421605,-1.4786923,-1.5523618,-2.5231485,-3.7378488,-1.3445661,2.2735598,7.571985,-4.9206967,-20.000179234445177,0.9657045981122684
2016-04-07,-0.0199,-0.0076,-0.0063,0.53981996,0.3467607,0.11341937,-6.242115,-2.0969443,-1.3281944,-2.3164065,-3.692638,-3.415158,-1.3239517,1.9707729,8.64214,-6.242115,2.4596874270939955,0.9676499965219846
2016-04-08,0.0009,0.0049,0.0052,0.5945832,0.24607737,0.15933943,-4.9401884,-1.8185446,-1.4486697,-2.1396,-3.0278344,-3.37165,-1.0052443,1.8434476,7.295045,-4.9401884,0.7103337716002825,0.9682129403971841
2016-04-11,0.0043,-0.0011,-0.0069,0.49789125,0.38657394,0.11553485,-6.949638,-2.0265694,-0.8852557,-2.3269956,-4.2052217,-3.7441313,-1.8905735,1.9214178,9.575995,-6.949638,8.304577537609887,0.9747981979208905
2016-04-12,0.0067,0.0091,0.0069,0.63356656,0.27967936,0.08675411,-8.215382,-2.3763056,-0.4729771,-2.0870595,-4.4989767,-4.548892,-2.6187906,2.2918694,10.645612,-8.215382,24.05687667984645,0.9940042585557138
2016-04-13,0.0279,0.012199999999999999,-0.0064,0.64633214,0.26582778,0.08784009,-7.523097,-2.2612302,-0.71389246,-1.8884418,-3.870799,-4.3965263,-2.2089162,2.4612324,10.018507,-7.523097,-1.4128507111779756,0.9928540704937856
2016-04-14,-0.0006,-0.0005,-0.0063,0.6789992,0.22834207,0.09265872,-6.5248914,-2.3216715,-1.0645794,-1.5518869,-3.1400642,-4.2926264,-1.9157026,2.5520175,8.93856,-6.5248914,-0.8824014720613899,0.9921365472396121
2016-04-15,-0.0025,0.0029,0.0058,0.67269045,0.23448846,0.09282108,-6.1873126,-2.2772853,-1.1183758,-1.4966339,-2.944436,-4.168264,-1.773179,2.5045147,8.621939,-6.1873126,10.46035665314626,1.0006362213860065
2016-04-18,0.010700000000000001,0.0043,0.0043,0.672111,0.23683837,0.091050744,-7.4462676,-2.5158687,-0.84255785,-1.6769,-3.5553641,-4.2463827,-1.9678047,2.5743558,9.586869,-7.4462676,6.989300325193979,1.0063641059622015
2016-04-19,0.005699999999999999,0.0074,0.0017000000000000001,0.6816015,0.2259143,0.092484176,-6.9496646,-2.430811,-0.95554274,-1.6061137,-3.3102968,-4.1584134,-1.8393544,2.527647,9.126655,-6.9496646,2.1486614472860714,1.008135060717659
2016-04-20,0.005699999999999999,-0.004,-0.0125,0.6890544,0.21762332,0.09332224,-7.4185796,-2.6261802,-0.89258176,-1.7635132,-3.5225158,-4.1567254,-1.8405089,2.4709568,9.312402,-7.4185796,-3.806228452591604,1.0049923970385772
2016-04-21,-0.0009,-0.0046,-0.0155,0.65740615,0.2531927,0.08940115,-7.015148,-2.3900335,-1.0035793,-1.9199408,-3.4888422,-4.100743,-1.769939,2.3769526,9.2985525,-7.015148,3.655927911698391,1.008001553267388
2016-04-22,0.0021,0.0045000000000000005,0.0077,0.6761628,0.231685,0.092152186,-6.6457424,-2.3098426,-1.0070927,-1.5603191,-3.1920717,-4.171461,-1.8324543,2.5381553,9.036794,-6.6457424,-6.28348383602,1.0028141974388551
2016-04-25,-0.0063,-0.0053,0.0051,0.6485537,0.26198655,0.08945964,-6.4824414,-2.2327185,-1.0928236,-1.8870924,-3.2997918,-4.035676,-1.6668344,2.3405957,8.993578,-6.4824414,13.332828377563343,1.013764524702603
2016-04-26,0.0146,0.006,0.0007000000000000001,0.6880056,0.21819289,0.09380159,-6.4190693,-2.383892,-1.1631329,-1.9081008,-3.2042308,-3.8777997,-1.4676625,2.2592342,8.558813,-6.4190693,2.390335933299824,1.0157491584219325
2016-04-27,0.0002,0.0077,0.0043,0.68814695,0.21814759,0.09370544,-6.6487327,-2.4650211,-1.0874798,-1.8824395,-3.3057249,-4.0612607,-1.6372393,2.3179603,8.764808,-6.6487327,-8.379238589595154,1.0087784749284043
2016-04-28,-0.0073,-0.0092,0.0018,0.63228035,0.28052005,0.087199606,-7.1688075,-2.4458747,-1.0661936,-2.400838,-3.9749756,-3.8898892,-1.613987,2.110322,9.338274,-7.1688075,-11.019840249170823,0.9996739887363378
2016-04-29,-0.0127,-0.0034999999999999996,0.0040999999999999995,0.61761713,0.29586527,0.08651752,-7.2070117,-2.3772845,-1.072681,-2.4140644,-4.104013,-3.6955757,-1.5683593,2.0710475,9.3596,-7.2070117,5.42668344363807,1.0041169979777065
2016-05-02,0.0036,0.0051,0.009300000000000001,0.6862634,0.21986245,0.093874164,-6.4174747,-2.341365,-1.1706343,-2.2685502,-3.4630783,-3.7448251,-1.3511717,2.0166092,8.436047,-6.4174747,-17.051822646597,0.9900940455076416
2016-05-03,-0.0154,-0.0108,-0.0060999999999999995,0.6362346,0.276494,0.08727147,-7.3209624,-2.6193957,-1.0500858,-2.4697127,-4.053486,-3.5736377,-1.4098961,1.9536344,9.009292,-7.3209624,-15.832161080846147,0.9772559386987443
2016-05-04,-0.0169,-0.0067,-0.0003,0.61429435,0.29862842,0.087077215,-6.9477363,-2.4703631,-1.1220167,-2.4538646,-3.9711123,-3.3598561,-1.2794878,1.870541,8.677424,-6.9477363,-6.825646369389981,0.9717928728101743
2016-05-05,-0.0072,-0.003,-0.0016,0.63784397,0.27437523,0.08778085,-7.168222,-2.4739847,-1.0509257,-2.404123,-3.994607,-3.3531106,-1.326715,1.9127054,8.857647,-7.168222,9.129379415811206,0.9790589382069518
2016-05-06,0.008,0.0073,0.0059,0.68667656,0.21960907,0.09371431,-6.445289,-2.3612726,-1.0657642,-2.2175372,-3.4113574,-3.5761,-1.2995322,1.9231832,8.2151985,-6.445289,-7.253044260137408,0.9732430841429893
