date,Durbl,Enrgy,HiTec,Hlth,Manuf,NoDur,Other,Shops,Telcm,Utils,Durbl_share,Enrgy_share,HiTec_share,Hlth_share,Manuf_share,NoDur_share,Other_share,Shops_share,Telcm_share,Utils_share,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09,value_function,absolute_return,cumulative_return
2016-03-21,0.0019,-0.0051,0.0021,0.0072,0.0027,-0.0009,-0.0006,0.0008,-0.0001,-0.0037,0.15534337,0.09200041,0.15981697,0.14817151,0.04683101,0.022939716,0.158922,0.16630672,0.024123674,0.02554461,-5.3412805,-4.235825,-2.5201075,-1.7201593,-0.5399237,-0.020398501,-0.053833455,1.1790975,3.3798215,-0.5399237,0.023987589804738165,1.000019645855696
2016-03-22,-0.005,-0.0017000000000000001,0.0012,0.0131,-0.0022,-0.008,-0.0031,-0.0016,-0.0027,-0.0016,0.14503162,0.12145593,0.14672828,0.14597274,0.03139008,0.022736482,0.15470138,0.15931891,0.024846459,0.047818244,-4.802617,-3.9304624,-2.455757,-1.5317335,-0.58367634,-0.34574234,0.616727,1.4756821,2.9196317,-0.58367634,-13.894380477499976,0.9886399133049231
2016-03-23,-0.022400000000000003,-0.023399999999999997,-0.0088,-0.0126,-0.0096,-0.001,-0.008,-0.0025,-0.0095,0.0009,0.1429893,0.12281046,0.15258634,0.15090798,0.027158644,0.02205545,0.15892954,0.15295386,0.025395777,0.04421269,-4.425753,-3.5038922,-2.3182743,-1.4986069,-0.5042773,-0.12078591,0.41420648,1.2237449,2.9744804,-0.5042773,0.9082790738920374,0.9893753440542017
2016-03-24,-0.0018,0.0068000000000000005,0.0009,0.0001,-0.0016,-0.0011,-0.0044,0.0031,0.005699999999999999,0.0037,0.14408702,0.13301642,0.14953989,0.14918947,0.028929379,0.021715816,0.15645859,0.15027566,0.023623241,0.043164514,-4.5886974,-3.8627214,-2.280253,-1.4050529,-0.43567565,-0.3428255,0.6963779,1.5979215,2.6718528,-0.43567565,-0.02953678932904655,0.9893514104169334
2016-03-28,0.0039000000000000003,-0.0043,-0.0024,-0.0031,0.0015,0.0064,0.0015,0.0029,0.004699999999999999,-0.0036,0.1450263,0.12661667,0.15418243,0.15049799,0.02806693,0.021862345,0.15855849,0.15394764,0.024258602,0.03698265,-4.651336,-3.828536,-2.269955,-1.4225321,-0.5450795,-0.24295284,0.6496217,1.3210176,2.980075,-0.5450795,13.07888752495699,0.9999489663706603
2016-03-29,0.011699999999999999,0.004699999999999999,0.0168,0.0146,0.0079,0.0103,0.005600000000000001,0.0098,0.01,0.0148,0.14973676,0.12597829,0.14767385,0.15248802,0.02937805,0.022370972,0.15368146,0.15333977,0.02391659,0.041436262,-4.8877835,-3.8807442,-2.3470957,-1.2987794,-0.25339237,-0.098465204,0.5640862,1.7018112,2.49173,-0.25339237,3.857361748333656,1.003107987577183
2016-03-30,0.0009,0.0007000000000000001,0.0060999999999999995,-0.0012,0.0031,0.0048,0.0063,0.006999999999999999,0.0014000000000000002,-0.0013,0.15345362,0.11354966,0.15448292,0.1539177,0.030169949,0.022858435,0.15974334,0.15757272,0.02537945,0.028872117,-3.7745328,-2.9220512,-2.2480361,-1.2027442,-0.037446577,0.17567794,0.15891948,1.6580344,2.1918962,-0.037446577,0.9075401503555285,1.0038535737965675
2016-03-31,0.0089,-0.0008,-0.0005,0.0033,-0.0046,-0.0044,-0.0026,-0.003,0.0008,0.0051,0.15172938,0.11411615,0.15701672,0.15055598,0.029852709,0.0227085,0.16065894,0.15963979,0.02536464,0.028357197,-3.9980648,-3.0443044,-2.2007825,-1.2950925,-0.22242738,0.1240606,0.13959801,1.4098921,2.594606,-0.22242738,4.345300517687463,1.007426092595831
2016-04-01,-0.0083,-0.0124,0.0072,0.0159,0.0063,0.0118,0.0055000000000000005,0.0076,0.0045000000000000005,0.0015,0.15526628,0.11019963,0.15608849,0.15354076,0.030912468,0.02292975,0.15787637,0.1604472,0.02490793,0.027831126,-4.116552,-3.1891177,-2.3455787,-1.2740175,-0.11301783,0.10561732,0.14561874,1.7120279,2.3368316,-0.11301783,-5.482373930039044,1.0029026801908445
2016-04-04,-0.0126,-0.0074,-0.0042,0.0092,-0.0085,-0.0036,-0.0072,-0.0055000000000000005,0.0005,-0.0044,0.15025018,0.11651193,0.1581785,0.15026106,0.028238049,0.02249508,0.1612584,0.15905042,0.025173403,0.02858297,-4.1198044,-3.2449615,-2.3799524,-1.4161885,-0.2806129,-0.042507112,0.24226248,1.5119708,2.6743748,-0.2806129,-9.638998839455137,0.9949854174795866
2016-04-05,-0.0034000000000000002,-0.0072,-0.010700000000000001,-0.0016,-0.0049,-0.0075,-0.013300000000000001,-0.0088,-0.0088,-0.018799999999999997,0.14634195,0.108921915,0.16100217,0.15470682,0.0289201,0.022260224,0.16308776,0.15921569,0.026221562,0.0293218,-3.8507855,-3.2498739,-2.3835897,-1.5994121,-0.35487923,-0.20005214,0.27487475,1.3176438,2.9073195,-0.35487923,17.258125600967823,1.0090489582707367
2016-04-06,0.0123,0.0227,0.0111,0.030600000000000002,0.0070999999999999995,0.0088,0.005699999999999999,0.011000000000000001,0.006999999999999999,0.0026,0.15088616,0.11918136,0.15738598,0.15123118,0.02754192,0.02239451,0.15999033,0.15769523,0.024665872,0.029027386,-4.640947,-3.6309927,-2.5300124,-1.5116379,-0.280932,0.0019170633,0.09095535,1.605306,2.7851334,-0.280932,-16.10661699466342,0.9957382579433568
2016-04-07,-0.0199,-0.0054,-0.014199999999999999,-0.009899999999999999,-0.0076,-0.0063,-0.0174,-0.0147,-0.0148,0.0002,0.14422709,0.10991046,0.15907302,0.15755925,0.02577918,0.02188375,0.16106401,0.15350284,0.030423693,0.03657668,-4.1633286,-3.4712,-2.7169127,-1.7575033,-0.26917902,-0.2609546,0.28084564,1.5722512,2.850808,-0.26917902,3.563289054187006,0.99864415739902
2016-04-08,0.0009,0.021099999999999997,0.0005,-0.0042,0.0049,0.0052,0.0040999999999999995,-0.0012,0.0022,0.0074,0.14450139,0.10770555,0.16197649,0.15398362,0.02851462,0.022353584,0.16389617,0.16041769,0.027061218,0.029589694,-3.8537571,-3.206594,-2.5702147,-1.5564167,-0.22687308,-0.20315565,0.20287594,1.6582209,2.70756,-0.22687308,-2.9036978991854876,0.9962692508127191
2016-04-11,0.0043,-0.004,-0.0033,-0.0074,-0.0011,-0.0069,0.0019,-0.0049,-0.0051,-0.0032,0.14419517,0.10013809,0.15981375,0.15826501,0.024761504,0.02220757,0.16282816,0.1547706,0.033983592,0.039036576,-3.8191557,-2.9012594,-2.4093332,-1.4836363,-0.23613112,0.046277512,0.21718754,1.2735077,2.786325,-0.23613112,13.048016328191293,1.0069157188322762
2016-04-12,0.0067,0.0292,0.0055000000000000005,0.0101,0.0091,0.0069,0.012199999999999999,0.0078000000000000005,0.0079,0.0123,0.13877447,0.13871783,0.116509125,0.15074764,0.022213168,0.022754388,0.15077694,0.12741312,0.024659961,0.10743336,-4.7841063,-3.7667873,-2.387178,-1.32282,-0.061852265,-0.009518203,0.80741465,1.7168576,2.1284988,-0.061852265,14.893280522530894,1.0191976830117315
2016-04-13,0.0279,0.0021,0.015600000000000001,0.0118,0.012199999999999999,-0.0064,0.023,0.0105,0.0044,-0.0055000000000000005,0.139667,0.1358693,0.11678778,0.14986926,0.023578549,0.022632511,0.14668997,0.1351621,0.022843024,0.10690049,-5.3044086,-4.119179,-2.4694984,-1.2678956,-0.03763925,0.050822113,0.8301234,1.7896413,2.2422957,-0.03763925,1.0896374127073039,1.0201072292249618
2016-04-14,-0.0006,0.0052,-0.0013,0.0031,-0.0005,-0.0063,0.0028000000000000004,0.0003,-0.0022,-0.0027,0.14898567,0.1226113,0.14390214,0.15423441,0.02635788,0.022445993,0.15309204,0.15052353,0.024255589,0.053591512,-5.039379,-3.7806828,-2.4281213,-1.2516781,-0.16394989,0.217512,0.3942449,1.6594629,2.5507488,-0.16394989,-1.839628119741398,1.0185702775918466
2016-04-15,-0.0025,-0.0121,-0.0034000000000000002,-0.0007000000000000001,0.0029,0.0058,-0.0024,0.0055000000000000005,0.0023,0.0043,0.15001607,0.12148661,0.14535134,0.15429592,0.026761288,0.02257006,0.15313154,0.15291826,0.02436624,0.049102675,-4.9445224,-3.7570243,-2.3893533,-1.2297713,-0.19178256,0.13727513,0.48013774,1.6792144,2.537139,-0.19178256,9.965866331992268,1.0268839018639357
2016-04-18,0.010700000000000001,0.0166,0.0044,0.009000000000000001,0.0043,0.0043,0.0055000000000000005,0.0068000000000000005,0.0083,0.0044,0.14572589,0.13915202,0.0860979,0.15267664,0.02771602,0.029213186,0.13894549,0.13316871,0.021661349,0.12564276,-6.1154394,-4.6731334,-2.3048422,-1.2950494,-0.18566209,0.11528419,0.76723254,1.6653014,2.557851,-0.18566209,5.624847031476705,1.0316145037206683
