date,Durbl,Enrgy,HiTec,Hlth,Manuf,NoDur,Other,Shops,Telcm,Utils,Durbl_share,Enrgy_share,HiTec_share,Hlth_share,Manuf_share,NoDur_share,Other_share,Shops_share,Telcm_share,Utils_share,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09,value_function,absolute_return,cumulative_return
2016-03-21,0.0019,-0.0051,0.0021,0.0072,0.0027,-0.0009,-0.0006,0.0008,-0.0001,-0.0037,0.1771126,0.033884127,0.033864986,0.07638358,0.033884373,0.035455972,0.033850458,0.24822983,0.2485335,0.07880059,-17.399048,-6.9537954,-4.2624555,-1.1086358,2.10173,6.0966053,9.583276,10.547936,15.668985,2.10173,-1.9495664294832737,0.9984033034975567
2016-03-22,-0.005,-0.0017000000000000001,0.0012,0.0131,-0.0022,-0.008,-0.0031,-0.0016,-0.0027,-0.0016,0.14979006,0.036449175,0.036462825,0.050343934,0.036731627,0.038209673,0.03641091,0.26598254,0.26864082,0.0809784,-18.101835,-6.8832674,-4.872887,-0.17851377,1.7444434,6.558179,9.987311,10.934099,17.227245,1.7444434,-10.982999994038806,0.9894225799296926
2016-03-23,-0.022400000000000003,-0.023399999999999997,-0.0088,-0.0126,-0.0096,-0.001,-0.008,-0.0025,-0.0095,0.0009,0.15550911,0.0354632,0.03544806,0.05893379,0.035639755,0.036860265,0.03540347,0.25727966,0.26003948,0.08942328,-18.97518,-7.1403275,-4.8725076,0.04051494,1.7216399,6.3524485,10.467692,12.239769,18.16288,1.7216399,2.874145255641876,0.99175160876993
2016-03-24,-0.0018,0.0068000000000000005,0.0009,0.0001,-0.0016,-0.0011,-0.0044,0.0031,0.005699999999999999,0.0037,0.1488842,0.036414333,0.036410447,0.058964938,0.036512654,0.03787254,0.036367156,0.26606682,0.2678377,0.074669115,-18.525444,-6.9714622,-4.9399385,-0.1596049,1.5196584,6.3038297,10.117117,11.68286,17.535912,1.5196584,2.765725121058131,0.9939980562213836
2016-03-28,0.0039000000000000003,-0.0043,-0.0024,-0.0031,0.0015,0.0064,0.0015,0.0029,0.004699999999999999,-0.0036,0.14974593,0.035573196,0.035547003,0.0707632,0.035601906,0.036908686,0.035518114,0.2605081,0.2612457,0.07858817,-18.55493,-7.0173254,-4.769343,-0.14555812,1.7420986,6.203756,10.065588,11.923018,17.528498,1.7420986,13.109513125692228,1.004670317126336
2016-03-29,0.011699999999999999,0.004699999999999999,0.0168,0.0146,0.0079,0.0103,0.005600000000000001,0.0098,0.01,0.0148,0.17115352,0.0351703,0.035182577,0.04650553,0.0353562,0.037097566,0.03514865,0.2568256,0.25916398,0.088396,-17.484646,-6.8194075,-4.8010545,-0.2091291,1.4225637,6.1592875,9.776145,10.405698,16.718485,1.4225637,3.527678069559572,1.0075729817003443
2016-03-30,0.0009,0.0007000000000000001,0.0060999999999999995,-0.0012,0.0031,0.0048,0.0063,0.006999999999999999,0.0014000000000000002,-0.0013,0.16989565,0.03540566,0.0354184,0.046863437,0.035740163,0.037518237,0.035379127,0.25656006,0.26049542,0.0867238,-18.262085,-7.32598,-4.9170218,-0.20948267,1.5302645,6.153483,10.171003,10.941078,17.459774,1.5302645,1.3185211440012679,1.0086610294321183
2016-03-31,0.0089,-0.0008,-0.0005,0.0033,-0.0046,-0.0044,-0.0026,-0.003,0.0008,0.0051,0.16782479,0.035260215,0.035264328,0.050152563,0.035448365,0.03711923,0.035232034,0.2565244,0.2592111,0.087962896,-18.346085,-7.346751,-4.9549823,-0.19396544,1.6420268,6.1414437,10.124784,11.033051,17.428965,1.6420268,4.058280987441284,1.0120135518551463
2016-04-01,-0.0083,-0.0124,0.0072,0.0159,0.0063,0.0118,0.0055000000000000005,0.0076,0.0045000000000000005,0.0015,0.1757957,0.03504428,0.035047844,0.049369246,0.035217132,0.03745468,0.03502072,0.25549775,0.2579326,0.083620094,-17.8501,-7.203763,-4.7829485,-0.32100713,1.5683938,6.069662,9.965655,10.621659,16.952173,1.5683938,-5.493176695440783,1.0074605876794536
2016-04-04,-0.0126,-0.0074,-0.0042,0.0092,-0.0085,-0.0036,-0.0072,-0.0055000000000000005,0.0005,-0.0044,0.17639652,0.034512945,0.034496836,0.05993933,0.03460094,0.03652232,0.0344687,0.2506383,0.25230527,0.08611892,-18.618021,-7.3396883,-4.917316,-0.20304918,1.5929071,6.1436415,10.329198,11.588225,17.673853,1.5929071,-10.087336233061219,0.9991374151245968
2016-04-05,-0.0034000000000000002,-0.0072,-0.010700000000000001,-0.0016,-0.0049,-0.0075,-0.013300000000000001,-0.0088,-0.0088,-0.018799999999999997,0.16723053,0.03421117,0.034155793,0.08342065,0.03419459,0.03602227,0.034130543,0.24971467,0.24740982,0.07951,-19.6775,-7.4223185,-4.803091,-0.0994469,1.8391906,6.096819,10.834082,13.279654,18.513906,1.8391906,13.67861901820938,1.010330551937314
2016-04-06,0.0123,0.0227,0.0111,0.030600000000000002,0.0070999999999999995,0.0088,0.005699999999999999,0.011000000000000001,0.006999999999999999,0.0026,0.18994455,0.033393107,0.033378884,0.06249131,0.03344373,0.035210703,0.033356037,0.2411064,0.24337944,0.09429572,-18.440506,-7.1417017,-4.7252364,-0.26457477,1.5664178,6.134231,10.353529,11.6909275,17.437193,1.5664178,-16.166624361390483,0.9969532918930823
2016-04-07,-0.0199,-0.0054,-0.014199999999999999,-0.009899999999999999,-0.0076,-0.0063,-0.0174,-0.0147,-0.0148,0.0002,0.18091239,0.034483183,0.03444019,0.067215845,0.034492854,0.036757383,0.034396544,0.24651687,0.24492162,0.08586318,-20.521948,-7.157529,-4.6209807,0.2032879,1.5842084,6.158266,11.7379675,14.895751,19.595053,1.5842084,2.4458550943632447,0.9989503461828604
2016-04-08,0.0009,0.021099999999999997,0.0005,-0.0042,0.0049,0.0052,0.0040999999999999995,-0.0012,0.0022,0.0074,0.18560609,0.034183457,0.034156192,0.06517462,0.03421019,0.036790047,0.034122407,0.24455981,0.24689317,0.08430407,-19.977234,-7.106929,-4.8802924,0.12508357,1.7393367,6.030394,11.340806,13.816337,18.75271,1.7393367,-3.5265387771789256,0.9960651396863083
2016-04-11,0.0043,-0.004,-0.0033,-0.0074,-0.0011,-0.0069,0.0019,-0.0049,-0.0051,-0.0032,0.18094996,0.03416298,0.03414854,0.052523363,0.034443717,0.036801137,0.034099028,0.23954035,0.24635811,0.10697274,-20.190033,-7.344486,-4.578881,0.52996635,1.6888156,6.112491,11.66348,14.155483,19.78088,1.6888156,11.03747693888915,1.0050692723717458
2016-04-12,0.0067,0.0292,0.0055000000000000005,0.0101,0.0091,0.0069,0.012199999999999999,0.0078000000000000005,0.0079,0.0123,0.17899117,0.033842303,0.033878416,0.039160013,0.036050938,0.037019067,0.033811778,0.24074885,0.24919362,0.11730382,-18.756357,-7.119134,-4.424928,0.2590747,1.2736462,6.631275,10.940726,12.039886,18.932522,1.2736462,12.226578282561857,1.0151336115511485
2016-04-13,0.0279,0.0021,0.015600000000000001,0.0118,0.012199999999999999,-0.0064,0.023,0.0105,0.0044,-0.0055000000000000005,0.18372007,0.033617094,0.03364452,0.038882535,0.034805745,0.036324818,0.033596236,0.23983943,0.24767168,0.117897786,-17.911377,-6.993973,-4.383311,0.028422587,1.2034527,6.5812497,10.36667,11.028739,17.975147,1.2034527,-0.9797967661196919,1.0143190131647626
2016-04-14,-0.0006,0.0052,-0.0013,0.0031,-0.0005,-0.0063,0.0028000000000000004,0.0003,-0.0022,-0.0027,0.18940757,0.032703727,0.032712743,0.043873653,0.033098657,0.03460359,0.03268163,0.23564029,0.24042968,0.12484847,-17.541754,-6.9413147,-4.461557,-0.12399901,1.4549414,6.233774,9.9434805,10.665058,17.158476,1.4549414,1.9428233881964905,1.0159329711515512
2016-04-15,-0.0025,-0.0121,-0.0034000000000000002,-0.0007000000000000001,0.0029,0.0058,-0.0024,0.0055000000000000005,0.0023,0.0043,0.18730533,0.032859184,0.032864362,0.045532867,0.033237793,0.03489719,0.03283461,0.2381721,0.24169937,0.12059713,-17.466148,-6.9215345,-4.495585,-0.13965237,1.5010332,6.2114067,9.876637,10.539678,17.055614,1.5010332,9.44237149721798,1.023789495746052
