date,Durbl,Enrgy,HiTec,Manuf,NoDur,Durbl_share,Enrgy_share,HiTec_share,Manuf_share,NoDur_share,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09,value_function,absolute_return,cumulative_return
2016-03-21,0.0019,-0.0051,0.0021,0.0027,-0.0009,0.091199905,0.099109046,0.6105726,0.08306746,0.11605113,-6.6037173,-3.8008296,-2.8045013,-0.839896,0.103361726,2.1216927,5.5634174,6.3447456,9.519402,0.103361726,-1.2746914277093704,0.9989560266767327
2016-03-22,-0.005,-0.0017000000000000001,0.0012,-0.0022,-0.008,0.0814385,0.08364192,0.58992934,0.080977894,0.16401227,-6.08003,-3.2699654,-2.060485,-1.3839928,0.6978296,2.4639018,7.4242115,8.161069,10.155938,0.6978296,-12.111219684953046,0.9890472831102383
2016-03-23,-0.022400000000000003,-0.023399999999999997,-0.0088,-0.0096,-0.001,0.0602833,0.07315449,0.44305643,0.060106985,0.36339882,-6.033824,-3.771213,-2.2473702,-1.3610502,1.0226889,2.2510104,7.989584,8.976616,11.227474,1.0226889,0.33210039867391716,0.9893162945738159
2016-03-24,-0.0018,0.0068000000000000005,0.0009,-0.0016,-0.0011,0.06717156,0.07498091,0.48915705,0.06655267,0.30213785,-5.4639144,-3.1202018,-1.8058838,-1.2663606,1.0642188,1.9385138,7.1009493,8.215508,9.771785,1.0642188,0.9682651796978948,0.9901008322640235
2016-03-28,0.0039000000000000003,-0.0043,-0.0024,0.0015,0.0064,0.0722615,0.0796454,0.52685803,0.071761765,0.24947332,-5.682395,-3.4032884,-2.1040318,-1.1779736,0.922158,1.965856,7.0543866,8.248605,10.11635,0.922158,16.119721881780187,1.0031722082271808
2016-03-29,0.011699999999999999,0.004699999999999999,0.0168,0.0079,0.0103,0.067747146,0.07429819,0.49261102,0.06693452,0.29840916,-5.889948,-3.4830508,-2.21661,-1.3187944,0.74736863,2.7667835,6.891768,7.2280097,9.942202,0.74736863,5.803173943219882,1.0079400893241066
2016-03-30,0.0009,0.0007000000000000001,0.0060999999999999995,0.0031,0.0048,0.06196244,0.08628736,0.4451289,0.060341965,0.34627932,-6.019869,-4.1803303,-2.9749277,-1.0179226,0.39769366,2.9339736,7.1090045,7.0597043,10.4893675,0.39769366,-1.889308681562734,1.0063804579062072
2016-03-31,0.0089,-0.0008,-0.0005,-0.0046,-0.0044,0.06753929,0.08441455,0.48856214,0.066324644,0.29315943,-6.1048703,-4.1058617,-2.9460027,-0.9592719,0.38638434,2.8006117,6.951151,7.141725,10.410471,0.38638434,7.059884036871716,1.0121994008462494
2016-04-01,-0.0083,-0.0124,0.0072,0.0063,0.0118,0.07093919,0.08607414,0.5095031,0.0691993,0.2642842,-6.126168,-4.281446,-2.8375003,-1.0596466,0.27077693,2.9003375,6.5852084,6.690388,10.23697,0.27077693,-6.365531512248695,1.0069224252665885
2016-04-04,-0.0126,-0.0074,-0.0042,-0.0085,-0.0036,0.07206169,0.08191743,0.5213308,0.07103282,0.25365737,-6.0589194,-4.3563795,-3.0025506,-0.951154,0.32073408,2.6439931,6.9972005,7.1732574,10.60492,0.32073408,-10.58002336351025,0.9981973943210005
2016-04-05,-0.0034000000000000002,-0.0072,-0.010700000000000001,-0.0049,-0.0075,0.075144805,0.0860276,0.54599196,0.07430195,0.21853372,-6.0395303,-4.307248,-3.0039895,-0.8942973,0.42818597,2.223305,7.1569357,7.823649,10.846821,0.42818597,13.900739252513752,1.00956158899831
2016-04-06,0.0123,0.0227,0.0111,0.0070999999999999995,0.0088,0.07459243,0.08289753,0.54018474,0.073580846,0.22874452,-6.1041136,-4.089748,-2.781905,-1.1048856,0.4554063,2.6906877,6.93144,7.1844916,10.470596,0.4554063,-14.16853420505363,0.9978465948084404
2016-04-07,-0.0199,-0.0054,-0.014199999999999999,-0.0076,-0.0063,0.07125292,0.07927214,0.5217525,0.071010225,0.2567122,-6.1061363,-3.9194715,-2.551192,-1.1585605,0.87209874,1.9606593,7.5863757,8.878844,11.129308,0.87209874,4.490625034936358,1.0015165005411781
2016-04-08,0.0009,0.021099999999999997,0.0005,0.0049,0.0052,0.08103787,0.08975015,0.5867696,0.079975724,0.1624667,-6.1593738,-3.8292174,-2.8264494,-0.9752682,0.5028768,2.4093454,6.7727494,7.525055,10.281877,0.5028768,-3.8648732277092455,0.998346365971112
2016-04-11,0.0043,-0.004,-0.0033,-0.0011,-0.0069,0.060944144,0.07699733,0.44916466,0.060877632,0.35201624,-6.4309883,-4.5767264,-3.3296413,-1.2937931,0.63043654,2.385894,8.306954,9.131347,12.267897,0.63043654,9.87903288701509,1.0064239225493763
2016-04-12,0.0067,0.0292,0.0055000000000000005,0.0091,0.0069,0.056136303,0.065343514,0.41421476,0.05611978,0.40818563,-6.627619,-4.3765883,-2.5080755,-2.0649679,1.2490494,3.1582978,9.644916,10.312614,13.378034,1.2490494,7.609013856693383,1.0126957436569815
2016-04-13,0.0279,0.0021,0.015600000000000001,0.012199999999999999,-0.0064,0.056915767,0.06292886,0.41948065,0.056868523,0.40380618,-6.4579134,-4.069264,-2.3633344,-1.9074551,1.0904425,3.214246,8.997568,9.282483,12.304886,1.0904425,-3.449221113271159,1.0098349643446625
2016-04-14,-0.0006,0.0052,-0.0013,-0.0005,-0.0063,0.05849051,0.066480644,0.429905,0.058312643,0.3868112,-6.3531275,-4.019032,-2.494149,-1.5463245,0.8920125,3.060976,8.389398,8.608412,11.636991,0.8920125,-0.0015460533512954905,1.0098336856724832
2016-04-15,-0.0025,-0.0121,-0.0034000000000000002,0.0029,0.0058,0.059848808,0.06716114,0.43932864,0.059614874,0.37404656,-6.1983743,-3.9716358,-2.4710085,-1.4774165,0.811046,2.9665773,8.03819,8.216296,11.26374,0.811046,6.778438416221059,1.0154398244513172
2016-04-18,0.010700000000000001,0.0166,0.0044,0.0043,0.0043,0.056612406,0.06308226,0.41695526,0.056526747,0.4068233,-6.2865925,-3.6976964,-1.7499158,-1.8688563,1.3281529,3.1777475,8.856313,9.333563,11.824041,1.3281529,-0.19602301584059004,1.0152768026849015
2016-04-19,0.005699999999999999,0.0171,-0.0064,0.0074,0.0017000000000000001,0.05697982,0.066076785,0.41902915,0.056834113,0.40108013,-6.186783,-3.7030063,-2.1608088,-1.8136388,1.1676689,3.0132716,8.713411,9.072222,11.631798,1.1676689,-4.097676057573736,1.0118695336872177
2016-04-20,0.005699999999999999,0.0084,0.0024,-0.004,-0.0125,0.056172054,0.06751813,0.4133915,0.05602832,0.40689003,-6.1678977,-3.5902991,-1.8520887,-1.9731803,1.3877481,3.040611,9.02871,9.551324,11.866744,1.3877481,-8.214355145506357,1.0050621170527994
2016-04-21,-0.0009,-0.0040999999999999995,0.0004,-0.0046,-0.0155,0.05652386,0.06902268,0.4160599,0.056404483,0.4019891,-6.205188,-3.78477,-2.175816,-1.7185777,1.1764938,2.9479094,8.832048,9.352593,11.826081,1.1764938,-1.5467590366930213,1.0037889074606705
2016-04-22,0.0021,0.016399999999999998,-0.0141,0.0045000000000000005,0.0077,0.056924347,0.069876984,0.41785824,0.056662094,0.39867824,-5.9354424,-3.7739131,-2.1222818,-1.5303354,0.9749913,3.0141246,8.21461,8.453915,11.11096,0.9749913,0.10966988251479586,1.0038790675028908
2016-04-25,-0.0063,-0.01,-0.0014000000000000002,-0.0053,0.0051,0.057497177,0.07160288,0.42243624,0.0572933,0.39117035,-6.0552535,-3.856815,-2.3089993,-1.388736,0.918743,2.8277273,8.264578,8.702072,11.243808,0.918743,1.7744514691621998,1.0053379820697963
2016-04-26,0.0146,0.015300000000000001,-0.0026,0.006,0.0007000000000000001,0.0569611,0.074544184,0.41721323,0.05654446,0.39473692,-5.851126,-3.4954326,-1.9716616,-1.4765228,1.1067075,2.7057116,8.170021,8.700535,10.858518,1.1067075,0.7205439472962387,1.0059312582352078
2016-04-27,0.0002,0.0161,-0.0066,0.0077,0.0043,0.056227636,0.081278406,0.41119212,0.05570628,0.39559552,-5.868686,-3.553631,-2.171678,-1.4585705,1.0793307,2.8014677,8.313093,8.736078,10.97629,1.0793307,-8.58539096188124,0.9988581107063574
2016-04-28,-0.0073,-0.0146,-0.0137,-0.0092,0.0018,0.055721644,0.08685842,0.40895084,0.05538661,0.3930825,-5.998963,-3.9506822,-2.3637753,-1.3436126,1.1351635,2.39148,8.415064,9.539874,11.744594,1.1351635,-3.228709623024022,0.9962168143967152
2016-04-29,-0.0127,-0.0033,-0.0075,-0.0034999999999999996,0.0040999999999999995,0.056313142,0.08146685,0.4140741,0.056091793,0.39205408,-6.037492,-3.9483664,-2.2964249,-1.3407562,1.1604671,2.2893665,8.3706455,9.616523,11.786568,1.1604671,8.805537073068722,1.0034012731125095
2016-05-02,0.0036,0.0022,0.006999999999999999,0.0051,0.009300000000000001,0.057186943,0.080236934,0.4182869,0.056672346,0.3876169,-5.855427,-3.5255604,-2.147068,-1.3720176,1.1114566,2.4060328,8.045841,8.868373,10.891408,1.1114566,-11.571476543575846,0.9938919903151175
2016-05-03,-0.0154,-0.0252,-0.0086,-0.0108,-0.0060999999999999995,0.0558777,0.08343429,0.41031143,0.05557114,0.39480543,-5.928227,-3.6534503,-1.992694,-1.4959998,1.3968793,2.1171756,8.361508,9.837309,11.63399,1.3968793,-6.315610849247009,0.9887510934789064
2016-05-04,-0.0169,-0.0138,-0.0063,-0.0067,-0.0003,0.057378586,0.07942671,0.42118734,0.057070438,0.38493687,-5.8526874,-3.6439886,-2.070888,-1.356163,1.2874868,1.9457753,8.033151,9.594017,11.3405075,1.2874868,-0.5042911445889574,0.98834272458403
2016-05-05,-0.0072,0.009399999999999999,0.0001,-0.003,-0.0016,0.056627534,0.078461714,0.4161145,0.056379367,0.39241683,-5.9133353,-3.6349347,-1.9807819,-1.4372256,1.3502862,2.0841436,8.231459,9.770169,11.503755,1.3502862,7.262807262666582,0.994221629349069
2016-05-06,0.008,-0.0013,0.0069,0.0073,0.0059,0.057813577,0.07489996,0.42392638,0.057471868,0.38588813,-5.8212647,-3.41932,-2.0486217,-1.4264342,1.1532162,2.4206815,8.006434,8.984263,10.820911,1.1532162,0.11384557876233362,0.9943143301982182
2016-05-09,-0.006500000000000001,-0.011899999999999999,0.0,-0.0072,0.0046,0.058672726,0.07387084,0.4297677,0.058276538,0.37941226,-5.810493,-3.3878078,-2.124276,-1.4127439,1.0806301,2.41831,7.8840065,8.748037,10.645405,1.0806301,17.41058946980368,1.0084925436355843
2016-05-10,0.015300000000000001,0.0196,0.0139,0.0147,0.0134,0.058400493,0.06874175,0.42785347,0.058029342,0.38697493,-5.8206124,-3.3355544,-1.9238236,-1.60266,1.0977757,2.7608106,7.958521,8.460864,10.606852,1.0977757,-8.740828438950214,1.0012730020255276
2016-05-11,-0.0091,0.0025,-0.0059,-0.0063,-0.0101,0.059080947,0.06986766,0.4337889,0.058848348,0.3784141,-5.9196534,-3.467155,-2.0384057,-1.5029521,1.1053295,2.5166526,8.04181,8.863358,10.905439,1.1053295,1.9135615299415514,1.0028422055453023
2016-05-12,-0.0016,0.0037,-0.004,0.0019,0.008,0.060063872,0.07051277,0.44078252,0.0598114,0.36882937,-5.9156227,-3.507459,-2.1659663,-1.4694371,0.96700376,2.6194344,7.903547,8.477481,10.735729,0.96700376,-8.718070187935705,0.9956818052706355
2016-05-13,-0.0124,-0.0129,-0.0027,-0.0126,-0.0096,0.060487125,0.072514184,0.4441345,0.06026447,0.36259973,-5.941586,-3.6044261,-2.2311935,-1.3738654,0.9630034,2.4496822,7.882748,8.662993,10.8738575,0.9630034,11.904352419947754,1.0053893786597194
