date,Durbl,Enrgy,HiTec,Manuf,NoDur,Durbl_share,Enrgy_share,HiTec_share,Manuf_share,NoDur_share,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09,value_function,log_growth,cum_log_growth,cumulative_return,cumulative_wealth
2016-03-21,0.0019,-0.0051,0.0021,0.0027,-0.0009,0.33629397,0.33924904,0.046278473,0.22878906,0.049389455,-3.6369803,-0.23281582,2.3119152,3.1785834,3.2610128,1.6880444,2.8573542,4.6051936,5.2111454,5.2111454,-0.0034104914427598608,-0.0034104914427598608,-0.003404682322680541,0.9965953176773195
2016-03-22,-0.005,-0.0017000000000000001,0.0012,-0.0022,-0.008,0.27226317,0.27459702,0.037188716,0.23343408,0.18251704,-4.777465,0.03635482,2.683236,3.4718244,3.1900966,1.8538243,3.5720615,5.430295,5.739503,5.739503,-0.015530692907457578,-0.018941184350217438,-0.01876292735832974,0.9812370726416703
2016-03-23,-0.022400000000000003,-0.023399999999999997,-0.0088,-0.0096,-0.001,0.2662964,0.27520102,0.037244454,0.2679901,0.15326808,-5.1150694,0.30300716,2.3780165,2.7161596,2.3673403,2.255285,3.8173482,4.7418723,4.9847593,4.9847593,0.0007917505656521256,-0.01814943378456531,-0.017985724716311546,0.9820142752836885
2016-03-24,-0.0018,0.0068000000000000005,0.0009,-0.0016,-0.0011,0.28734213,0.296281,0.040099394,0.2852975,0.090979956,-5.440039,0.036200564,2.386353,2.8482459,2.8494222,2.0241473,3.547886,4.4584327,5.224335,5.224335,0.0006983215413619777,-0.017451112243203334,-0.017299723497119168,0.9827002765028808
2016-03-28,0.0039000000000000003,-0.0043,-0.0024,0.0015,0.0064,0.2782033,0.28607708,0.03872374,0.27176258,0.1252333,-4.9152193,0.078456685,2.2528284,2.7516136,2.6119916,1.9026009,3.369257,4.446511,5.048972,5.048972,0.008615671657784542,-0.008835440585418792,-0.00879652278323495,0.991203477216765
2016-03-29,0.011699999999999999,0.004699999999999999,0.0168,0.0079,0.0103,0.31141198,0.3162613,0.042809505,0.27466106,0.054856103,-5.73404,-0.04412504,2.6622927,3.0312421,3.0654955,1.8345233,3.6739488,4.658726,5.502227,5.502227,0.0018052099149549335,-0.007030230670463858,-0.007005576407707048,0.992994423592293
2016-03-30,0.0009,0.0007000000000000001,0.0060999999999999995,0.0031,0.0048,0.31820923,0.32295,0.04370701,0.26698977,0.048143994,-5.9263406,0.120747134,2.7031882,2.9190898,2.8607872,2.16107,4.021807,4.809157,5.487398,5.487398,0.0010963657983402227,-0.005933864872123636,-0.00591629426700746,0.9940837057329925
2016-03-31,0.0089,-0.0008,-0.0005,-0.0046,-0.0044,0.31708464,0.32216397,0.043602742,0.2681648,0.048983853,-5.3171277,0.10380761,2.5844069,2.88606,2.7507749,1.9950114,3.7647624,4.734653,5.297794,5.297794,-0.004057255636189696,-0.009991120508313332,-0.009941375072533232,0.9900586249274668
2016-04-01,-0.0083,-0.0124,0.0072,0.0063,0.0118,0.32905996,0.3333566,0.045122445,0.24535589,0.047105066,-5.433337,0.011521857,2.7194476,3.0393915,3.0088713,1.9178704,3.7850962,4.7649965,5.4755583,5.4755583,-0.009127134260356835,-0.019118254768670167,-0.018936660035470898,0.9810633399645291
2016-04-04,-0.0126,-0.0074,-0.0042,-0.0085,-0.0036,0.31208873,0.3195077,0.043243147,0.27715236,0.048008036,-5.0584188,0.14925115,2.5143604,2.8182263,2.6323671,2.0560431,3.7471912,4.599729,5.0555806,5.0555806,-0.005590083897763215,-0.024708338666433384,-0.024405586295031978,0.975594413704968
2016-04-05,-0.0034000000000000002,-0.0072,-0.010700000000000001,-0.0049,-0.0075,0.29779428,0.30754107,0.041623298,0.29109797,0.061943367,-4.399669,0.1961445,2.2204814,2.5547833,2.2715316,2.1250937,3.5166018,4.3316717,4.662328,4.662328,0.013596931453216856,-0.011111407213216528,-0.011049903536326733,0.9889500964636733
2016-04-06,0.0123,0.0227,0.0111,0.0070999999999999995,0.0088,0.3120259,0.31826702,0.043082338,0.276037,0.050587717,-5.0921874,0.06379287,2.541251,2.8845127,2.742863,1.928439,3.6698484,4.5986166,5.189632,5.189632,-0.011040988860165595,-0.022152396073382125,-0.021908833560412178,0.9780911664395878
2016-04-07,-0.0199,-0.0054,-0.014199999999999999,-0.0076,-0.0063,0.26794147,0.27519783,0.037247144,0.26284948,0.15676405,-4.7651224,0.15674369,2.099655,2.5849867,2.3089027,1.9543246,3.2956822,4.6071143,4.9327736,4.9327736,0.008030446519261998,-0.014121949554120126,-0.01402270256080762,0.9859772974391924
2016-04-08,0.0009,0.021099999999999997,0.0005,0.0049,0.0052,0.29985338,0.30619565,0.04152582,0.26823914,0.08418598,-4.4403877,0.07831995,2.2290452,2.6966906,2.4722247,1.7119242,3.2368956,4.459169,4.9668956,4.9668956,-0.001020963477927136,-0.015142913032047262,-0.015028835671581753,0.9849711643284182
2016-04-11,0.0043,-0.004,-0.0033,-0.0011,-0.0069,0.27692327,0.2825084,0.03823355,0.26795977,0.13437495,-5.150449,0.33360377,1.9202987,2.1125011,1.7408254,1.9523863,3.333792,4.3993883,4.7478395,4.7478395,0.013537111346738967,-0.001605801685308295,-0.0016045130756248138,0.9983954869243752
2016-04-12,0.0067,0.0292,0.0055000000000000005,0.0091,0.0069,0.25449625,0.26020604,0.035215057,0.25583988,0.19424273,-7.5867105,0.88930315,2.2207909,2.2000802,2.0431483,2.2539406,4.185311,4.2902265,5.2191925,5.2191925,0.009963149755698493,0.008357348070390198,0.008392368194247934,1.008392368194248
2016-04-13,0.0279,0.0021,0.015600000000000001,0.012199999999999999,-0.0064,0.28653648,0.29058608,0.03932655,0.273627,0.10992387,-7.2355475,0.4671326,2.6297743,2.6161597,2.508792,2.0677133,4.19485,4.7034154,5.515835,5.515835,0.0003774081343627532,0.00873475620475295,0.008773015501810644,1.0087730155018106
2016-04-14,-0.0006,0.0052,-0.0013,-0.0005,-0.0063,0.29627737,0.3016689,0.04082652,0.2813867,0.07984041,-6.471191,0.01411311,2.835158,2.984578,3.0096104,2.1285374,4.0938516,4.8046393,5.5854263,5.5854263,-0.0032852376186225814,0.005449518586130369,0.005464394221949664,1.0054643942219497
2016-04-15,-0.0025,-0.0121,-0.0034000000000000002,0.0029,0.0058,0.29968578,0.30456153,0.041218128,0.28042012,0.07411437,-6.221887,-0.03750189,2.8162086,3.013322,3.0310152,2.077098,4.0184445,4.738302,5.5316916,5.5316916,0.009909708283970128,0.015359226870100497,0.015477786009659322,1.0154777860096593
2016-04-18,0.010700000000000001,0.0166,0.0044,0.0043,0.0043,0.27378854,0.27835894,0.037671786,0.26798075,0.14220001,-7.363591,0.28137055,3.0118053,3.1589081,3.1635318,2.3887568,4.5225005,5.121808,5.899185,5.899185,0.008201436319790525,0.023560663189891022,0.023840408287895576,1.0238404082878956
