date,Durbl,Manuf,NoDur,Durbl_share,Manuf_share,NoDur_share,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09,value_function,absolute_return,cumulative_return
2016-03-21,0.0019,0.0027,-0.0009,0.46915418,0.06638435,0.46446154,-8.480273,-4.368261,-3.5272725,-2.008522,-2.2037063,0.21714851,1.5557559,7.2960887,14.947479,14.947479,-7.903882090914275,0.9935267140942553
2016-03-22,-0.005,-0.0022,-0.008,0.46416315,0.08336086,0.45247597,-11.050512,-6.416097,-3.9099069,-2.5903764,-1.7946613,-0.70213985,0.79043436,8.504647,18.6092,18.6092,-14.244807511890999,0.9819357257239079
2016-03-23,-0.022400000000000003,-0.0096,-0.001,0.4673291,0.08220696,0.45046395,-11.818256,-6.444885,-3.825605,-3.1318283,-2.4731793,-1.0138121,0.33593965,8.66428,19.778479,19.778479,-1.8027287640259837,0.980485960140626
2016-03-24,-0.0018,-0.0016,-0.0011,0.47785017,0.07680736,0.44534242,-11.525365,-6.2709827,-3.9729483,-3.135962,-2.3341227,-0.73562723,0.75235087,8.736542,19.24927,19.24927,5.88313242553793,0.9852102261069551
2016-03-28,0.0039000000000000003,0.0015,0.0064,0.46268812,0.083471,0.45384082,-11.486721,-6.320636,-3.982258,-3.3037014,-2.4025817,-0.70376086,0.78510994,8.665956,19.37314,19.37314,13.104448307440146,0.9957840479578806
2016-03-29,0.011699999999999999,0.0079,0.0103,0.46663585,0.08465154,0.44871268,-11.184844,-6.0955844,-3.7686558,-2.440815,-1.9936018,-1.1747744,0.39125526,8.808414,18.99833,18.99833,3.4569826340948704,0.9986033830611557
2016-03-30,0.0009,0.0031,0.0048,0.46151584,0.089656964,0.44882724,-11.174968,-6.0898504,-3.692171,-2.350538,-1.9915216,-1.2812243,0.28504962,8.795798,19.025932,19.025932,2.094304865713552,1.0003162249318052
2016-03-31,0.0089,-0.0046,-0.0044,0.4608732,0.08780985,0.45131695,-11.068222,-6.1030087,-3.7528596,-2.5587935,-2.0409212,-1.1416913,0.41356665,8.69567,19.004755,19.004755,2.5009156646334376,1.0023651246177339
2016-04-01,-0.0083,0.0063,0.0118,0.45827088,0.09182446,0.44990465,-10.716618,-5.9503326,-3.7663648,-2.130047,-1.7195196,-1.2793114,0.3665711,8.805016,18.72449,18.72449,-9.987941543020085,0.9941656452815799
2016-04-04,-0.0126,-0.0085,-0.0036,0.45714644,0.08986104,0.4529925,-11.094664,-6.0377073,-3.8857598,-2.5745819,-2.0526102,-1.3058748,0.24360216,8.903167,19.475134,19.475134,-6.586053946776903,0.9888031321187161
2016-04-05,-0.0034000000000000002,-0.0049,-0.0075,0.45095232,0.09165778,0.45738992,-11.135741,-6.1532025,-4.055087,-3.1900237,-2.278231,-0.9460685,0.57115525,8.753721,19.622692,19.622692,12.472921202463677,0.9989040850684835
