date,BIG HiBM,BIG LoBM,ME1 BM2,BIG HiBM_share,BIG LoBM_share,ME1 BM2_share,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09,value_function,absolute_return,cumulative_return
2013-05-08,0.0092,0.0028000000000000004,0.0008,0.13052765,0.7600184,0.109454006,-0.39642,-0.29828107,-0.15714282,-0.029019406,0.2968058,0.20506945,2.0071042,1.8165758,1.7788122,-0.39642,-0.0021097908159097034,0.9978902091840903
2013-05-09,-0.0078000000000000005,-0.0019,0.004,0.15168367,0.74264973,0.10566668,-1.0304437,-0.37043756,-0.30948126,0.322324,0.17040093,-0.26909548,2.499168,2.9951813,3.1008213,-1.0304437,0.004957643246650696,1.0028373928405507
2013-05-10,0.0042,0.0046,0.0086,0.13128416,0.7558988,0.112817034,-0.4891741,-0.084603585,-0.4021521,-0.5785119,0.03710088,0.32175565,1.8333981,1.7528163,1.6321158,-0.4891741,0.0013286480963230133,1.00416981083347
2013-05-13,0.0034999999999999996,0.0012,-0.0003,0.1268584,0.75725186,0.115889795,-0.4375867,-0.057860695,-0.3742287,-0.59548455,0.011577575,0.32211864,1.5301712,1.506943,1.4165074,-0.4375867,0.010321109662950039,1.0145339575713062
2013-05-14,0.021,0.008199999999999999,0.0125,0.16794509,0.71143633,0.12061854,-0.71126205,-0.18773049,-0.47896135,-0.23457488,-0.04674928,0.075257376,1.6369685,2.0142155,1.8091507,-0.71126205,0.004300407626479864,1.0188968671397687
2013-05-15,0.0113,0.003,0.0023,0.3979645,0.20018585,0.4018497,-0.46858063,0.08145978,-0.8050434,-0.21508253,-0.09021472,-0.24360247,1.1248412,0.9608192,0.8302005,-0.46858063,-0.005248615038394927,1.0135490697203253
2013-05-16,-0.0087,-0.005,-0.0017000000000000001,0.38526747,0.22934218,0.38539034,-0.19689783,-0.50767654,-0.30536512,-0.10213401,0.049788646,-0.20526148,0.6038222,0.8516846,0.61362606,-0.19689783,0.010474256584048271,1.0241652427370995
2013-05-17,0.0167,0.0084,0.0055000000000000005,0.42269632,0.20887513,0.36842853,-0.7927868,-0.013182957,-1.0721387,-0.9005533,0.06954887,-0.18741907,0.9181137,-0.02646029,0.09044713,-0.7927868,0.001581194134056568,1.0257846468112202
2013-05-20,0.0016,-0.0011,0.0031,0.44005784,0.16201861,0.3979235,-0.34529555,-0.3411864,-0.44115803,-0.6299942,0.1982663,0.16644748,0.44505078,0.16019079,0.11347123,-0.34529555,0.001165227185189724,1.0269799189678348
2013-05-21,0.0014000000000000002,0.0005,0.0012,0.38923496,0.21861051,0.39215448,-0.033555023,-0.62484735,-0.33886743,-0.60523236,0.11712331,-0.31606293,0.25901428,0.6681628,0.6836697,-0.033555023,-0.01013987164646387,1.016566474406005
2013-05-22,-0.008199999999999999,-0.0059,-0.0144,0.34223774,0.26836604,0.38939622,0.1578612,-1.0070404,-0.4217909,-0.8374762,0.13164335,-0.78648156,0.393752,1.1724336,1.3005879,0.1578612,-0.00039658021777868224,1.0161633242521986
2013-05-23,-0.0046,-0.0037,0.005600000000000001,0.18551776,0.68526906,0.1292132,-0.52128315,-0.76293176,0.12985659,0.41965532,0.37579829,-0.56286126,1.5140107,2.7018237,2.6596613,-0.52128315,0.0008526732072234154,1.0170297794929515
2013-05-24,0.0012,0.0004,0.0034000000000000002,0.13613077,0.75500673,0.10886253,-0.7934357,-0.4194595,-0.042639755,0.2822477,0.25673705,-0.44255823,2.1829686,3.6182,3.2108564,-0.7934357,0.008524994054436684,1.025699952316314
2013-05-28,0.0141,0.0060999999999999995,0.018500000000000003,0.13557017,0.75962347,0.10480629,-1.1445379,-0.41927007,-0.12686911,0.6344132,0.3044831,-0.42722505,2.8214889,4.085896,3.8805745,-1.1445379,-0.00801902944818139,1.0174748341936912
2013-05-29,0.0046,-0.0095,-0.013600000000000001,0.11539415,0.7791271,0.10547868,-1.3583169,-0.3152753,0.29383752,1.2819949,1.0536907,-0.37198168,5.484692,5.48001,6.092147,-1.3583169,0.004360306317359209,1.02191133614098
