date,Durbl,Enrgy,HiTec,Hlth,Manuf,NoDur,Other,Shops,Telcm,Utils,Durbl_share,Enrgy_share,HiTec_share,Hlth_share,Manuf_share,NoDur_share,Other_share,Shops_share,Telcm_share,Utils_share,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09,value_function,absolute_return,cumulative_return
2016-03-21,0.0019,-0.0051,0.0021,0.0072,0.0027,-0.0009,-0.0006,0.0008,-0.0001,-0.0037,0.12436747,0.08168789,0.09511354,0.091342844,0.039860725,0.125682,0.11734014,0.14865203,0.02465944,0.15129393,-1.4477736,4.7245398,-1.8775758,-0.39295202,3.0614169,-0.687422,4.53561,-0.16246243,0.106527954,-1.4477736,-1.7950620877095664,0.9985298426800086
2016-03-22,-0.005,-0.0017000000000000001,0.0012,0.0131,-0.0022,-0.008,-0.0031,-0.0016,-0.0027,-0.0016,0.13042094,0.10758184,0.12806426,0.13461344,0.103392445,0.040314253,0.0711716,0.12664683,0.019514067,0.13828026,0.68574226,2.4738264,-0.4122765,-0.62451273,2.579966,-0.5030562,2.7646348,-0.58432454,0.4692137,0.68574226,-12.525998056287024,0.9882861220669419
2016-03-23,-0.022400000000000003,-0.023399999999999997,-0.0088,-0.0126,-0.0096,-0.001,-0.008,-0.0025,-0.0095,0.0009,0.10036294,0.09635445,0.12665437,0.12184575,0.11759495,0.056630373,0.1159093,0.113160156,0.021828266,0.12965944,0.45072705,1.4396245,0.03367184,0.27644676,2.2528343,-1.3627552,1.3814389,0.5382524,0.48119113,0.45072705,0.9615944258899956,0.9890644434642917
2016-03-24,-0.0018,0.0068000000000000005,0.0009,0.0001,-0.0016,-0.0011,-0.0044,0.0031,0.005699999999999999,0.0037,0.10529406,0.086432695,0.12538199,0.12050476,0.111490905,0.06677168,0.116251424,0.11820714,0.021132348,0.12853299,0.5988722,1.2482443,0.24111198,0.008362457,2.262908,-1.6236776,1.0256754,0.4990532,0.34282228,0.5988722,0.13521833715289988,0.9891739763466686
2016-03-28,0.0039000000000000003,-0.0043,-0.0024,-0.0031,0.0015,0.0064,0.0015,0.0029,0.004699999999999999,-0.0036,0.11200497,0.088644765,0.12664565,0.12394709,0.10471596,0.0626772,0.10790257,0.11839935,0.021420697,0.13364175,0.6931072,1.2600784,0.06841777,-0.30443794,2.1791935,-1.5304114,1.1715561,0.40652665,0.32894,0.6931072,13.543158750580913,1.0001457537370095
2016-03-29,0.011699999999999999,0.004699999999999999,0.0168,0.0146,0.0079,0.0103,0.005600000000000001,0.0098,0.01,0.0148,0.11074164,0.08131083,0.12300459,0.12195977,0.09962197,0.07586915,0.11622922,0.123215266,0.022122188,0.12592533,0.11056918,2.2108784,-0.27840042,-0.45632595,2.205208,-0.9728354,2.04752,0.22763862,0.0639126,0.11056918,3.5321037076299118,1.0030389712021568
2016-03-30,0.0009,0.0007000000000000001,0.0060999999999999995,-0.0012,0.0031,0.0048,0.0063,0.006999999999999999,0.0014000000000000002,-0.0013,0.11167943,0.08458034,0.12174512,0.11934427,0.090256274,0.079215646,0.1196193,0.123741135,0.024298057,0.12552044,0.28330955,1.749439,-0.5254642,-0.3478604,2.1483247,-1.7383171,1.4763982,0.611603,0.24103191,0.28330955,0.5757771545147488,1.0035119662264862
2016-03-31,0.0089,-0.0008,-0.0005,0.0033,-0.0046,-0.0044,-0.0026,-0.003,0.0008,0.0051,0.11498248,0.084928006,0.122536026,0.12095803,0.08571225,0.07567552,0.117133126,0.12599398,0.02293598,0.12914471,0.41493043,1.741128,-0.62015307,-0.5736857,2.0655951,-1.7947377,1.4737128,0.62649125,0.30259094,0.41493043,5.041058409964859,1.007655096805394
2016-04-01,-0.0083,-0.0124,0.0072,0.0159,0.0063,0.0118,0.0055000000000000005,0.0076,0.0045000000000000005,0.0015,0.11955763,0.08734015,0.12157962,0.124476455,0.06887798,0.08019668,0.118002005,0.12794244,0.022898154,0.12912886,0.31152198,2.2947824,-0.93575,-0.9831365,2.1906579,-1.3360053,2.1150548,0.25189772,0.10803953,0.31152198,-5.499653245701737,1.003116396048888
2016-04-04,-0.0126,-0.0074,-0.0042,0.0092,-0.0085,-0.0036,-0.0072,-0.0055000000000000005,0.0005,-0.0044,0.11598294,0.092883356,0.12151156,0.12266505,0.07940659,0.07041662,0.11928678,0.12528132,0.02449201,0.12807369,0.485096,1.3968632,-0.46910727,-0.43698305,1.8710271,-1.7400523,1.3412918,0.8402272,0.46838215,0.485096,-10.733848184910196,0.9942979692618421
